기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드,순이익성장률,매출액성장률,자본총계성장률,순이익성장지수,매출액성장지수,자본총계성장지수
온리원파트너스,중소기업,483765,5315,68471,56508,33010,483765,443174,233298,11962,23396,6214,2022,자율주행,0.9250080463469584,1.0735925725895636,1.0742502272038776,0.9250080463469584,1.0735925725895636,1.0742502272038776
현대엠시스템즈,중소기업,1075801,4791,375088,432558,379246,1075801,902720,711081,-57469,-123753,1646,2022,자율주행,-35.91433778857837,0.5129092184997208,-0.01096385986931965,-35.91433778857837,0.5129092184997208,-0.01096385986931965
주식회사 에이치엘클레무브,중견기업,109204107,7119,26838870,22101342,16179280,109204107,54730765,52538658,4767202,620216,461131,2022,자율주행,9.33806445456931,1.0785477048157568,0.6588420498316365,9.33806445456931,1.0785477048157568,0.6588420498316365
(재)차세대융합기술연구원,소기업,3014468,5080,786602,960656,911928,3014468,3317537,3022288,-72269,47685,272306,2022,자율주행,-1.2653962821237872,-0.002587443685049208,-0.13742970936301988,-1.2653962821237872,-0.002587443685049208,-0.13742970936301988
주식회사 웨이브엠,중소기업,310363,0,263198,252933,227053,310363,277180,267931,10364,26209,27036,2022,자율주행,-0.6166592691226512,0.15836913235123967,0.15919190673543182,-0.6166592691226512,0.15836913235123967,0.15919190673543182
안진회계법인,중견기업,50468827,6820,2901847,3552133,2747354,50468827,44770058,37459898,-650285,804791,1315905,2023,자율주행,-1.4941732115920223,0.3472761458133175,0.05623337946256653,-1.4941732115920223,0.3472761458133175,0.05623337946256653
라닉스,중소기업,1098497,6468,1432198,1945821,1717118,1098497,921469,912700,-506199,-254293,-227959,2022,자율주행,1.2205703657236608,0.20356853292429056,-0.16592919065550532,1.2205703657236608,0.20356853292429056,-0.16592919065550532
반프,중소기업,12360,5564,441811,20062,10489,12360,9011,900,-27914,-10305,531,2022,자율주행,-53.568738229755176,12.733333333333333,41.121365239775,-53.568738229755176,12.733333333333333,41.121365239775
오픈엣지테크놀로지,중소기업,1001168,6473,3406848,2213247,-2572203,1001168,518586,108864,-2478588,-1374642,-1872871,2022,자율주행,0.3234162950891973,8.196502057613168,-2.324486442166501,0.3234162950891973,8.196502057613168,-2.324486442166501
두원전자통신,중소기업,3343666,4382,1366881,1356231,948731,3343666,4257725,2288521,15420,412499,119822,2022,자율주행,-0.8713091085109579,0.4610597849003789,0.4407466394583923,-0.8713091085109579,0.4610597849003789,0.4407466394583923
주식회사애니랙티브,중소기업,220104,0,596381,763278,297818,220104,217341,101680,-316896,27845,543,2022,자율주행,-584.6022099447514,1.164673485444532,1.0025015277787104,-584.6022099447514,1.164673485444532,1.0025015277787104
 실리콘스튜디오코리아,중소기업,491500,4552,111974,110541,104593,113107,126323,273118,1611,5947,19971,2016,자율주행,-0.9193330328977016,-0.5858676469511347,0.0705687761131242,-0.9193330328977016,-0.5858676469511347,0.0705687761131242
주식회사 한컴어썸텍,중소기업,81460,3877,74292,69776,13347,81460,64024,47401,4516,6428,10865,2022,드론,-0.5843534284399448,0.7185291449547478,4.566194650483254,-0.5843534284399448,0.7185291449547478,4.566194650483254
엑스퍼넷,중소기업,3212805,5647,924254,847029,668688,3212805,3276745,2653091,77225,178340,68060,2022,드론,0.13466059359388774,0.21096675538079923,0.3821901993156749,0.13466059359388774,0.21096675538079923,0.3821901993156749
주식회사리하이,중소기업,161804,3110,36377,28582,4411,161804,118578,44897,10858,23583,2751,2022,드론,2.946928389676481,2.6038933559035127,7.246882793017456,2.946928389676481,2.6038933559035127,7.246882793017456
스카우트파트너스,중소기업,855603,4515,169197,116080,58451,855603,586943,334395,53117,57628,27402,2022,드론,0.9384351507189256,1.5586596689543804,1.8946810148671538,0.9384351507189256,1.5586596689543804,1.8946810148671538
프리뉴,중소기업,921452,4687,425006,282431,143723,186582,539289,648445,-157424,-41866,33475,2022,드론,-5.702733383121733,-0.7122624123865555,1.9571189023329598,-5.702733383121733,-0.7122624123865555,1.9571189023329598
와이즈교육,중소기업,816310,3924,66299,50968,28686,816310,896016,701963,15330,22281,-140556,2022,드론,-1.109066848800478,0.16289605007671346,1.3111970996304818,-1.109066848800478,0.16289605007671346,1.3111970996304818
다스코리아,중소기업,5724536,4838,1182820,1157753,947049,5724536,4600909,3619219,67566,216675,-146660,2022,드론,-1.4606982135551616,0.5817047821643289,0.24895332765252906,-1.4606982135551616,0.5817047821643289,0.24895332765252906
한국씨앤오테크,중소기업,1844294,4257,768325,837440,960981,1844294,1167101,1185713,-69115,-123540,-271745,2022,드론,-0.7456622936944562,0.5554303613100303,-0.20047846939741784,-0.7456622936944562,0.5554303613100303,-0.20047846939741784
웹뜰 주식회사,중소기업,871814,3621,101237,292137,265947,871814,2574676,2054333,-4127,22190,27748,2022,드론,-1.1487314401037914,-0.5756218685091463,-0.6193339274366697,-1.1487314401037914,-0.5756218685091463,-0.6193339274366697
인스파이어인티그레이티드리조트,중소기업,0,4835,22758154,22706598,5709905,0,0,0,51556,-185292,-163460,2017,드론,-1.3154043802765203,,2.9857325121871554,-1.3154043802765203,,2.9857325121871554
유비파이,중소기업,635493,4659,252480,187863,86897,635493,343995,143861,64617,100966,56925,2022,드론,0.13512516469038208,3.4174098609074037,1.9055088207878292,0.13512516469038208,3.4174098609074037,1.9055088207878292
프로듀스드바이기억,중소기업,488051,4688,8775,8533,-5951,488051,389758,203861,242,14484,9611,2022,드론,-0.9748205181562792,1.394038094584055,-2.474542093765754,-0.9748205181562792,1.394038094584055,-2.474542093765754
오가노이드사이언스,중소기업,43824,5769,-3956023,3424975,689449,43824,27025,10186,-2411128,-532567,-140197,2022,드론,16.198142613607995,3.302375809935205,-6.737948709766785,16.198142613607995,3.302375809935205,-6.737948709766785
산수음료,중소기업,1592070,4712,415395,738302,723117,1592070,1676206,1646769,-322907,15185,-80486,2022,드론,3.0119648137564297,-0.03321595196411883,-0.4255493924219732,3.0119648137564297,-0.03321595196411883,-0.4255493924219732
비전드림교육,중소기업,124614,0,13010,8072,6762,124614,91324,34150,4938,1310,3762,2022,드론,0.31259968102073366,2.6490190336749633,0.9239869860987874,0.31259968102073366,2.6490190336749633,0.9239869860987874
더프리마,중소기업,393387,4238,30568998,12725385,12879406,393387,409080,1279919,28983441,-154020,-181128,2022,드론,-161.01634755531998,-0.6926469565652201,1.3734788700659022,-161.01634755531998,-0.6926469565652201,1.3734788700659022
주식회사 베이리스,중소기업,1691838,6227,481289,257197,302003,1691838,1899189,1757820,111993,-44806,100542,2022,딥러닝,0.11389270155755804,-0.037536266511929546,0.5936563544070754,0.11389270155755804,-0.037536266511929546,0.5936563544070754
커리어케어,중소기업,1787914,0,463968,455615,163751,1787914,2218597,1585581,164028,369725,61014,2022,딥러닝,1.6883666043858787,0.12760811336664604,1.8333750633583916,1.6883666043858787,0.12760811336664604,1.8333750633583916
메디픽셀,중소기업,2727,6092,934694,128064,60647,2727,-3566,4636,-148410,-32962,-12444,2021,딥러닝,10.926229508196721,-0.4117773943054357,14.412040166867282,10.926229508196721,-0.4117773943054357,14.412040166867282
포인드,중소기업,175578,3654,96745,23882,20426,175578,127286,93270,39263,3583,1429,2022,딥러닝,26.475857242827153,0.8824702476680605,3.736365416625869,26.475857242827153,0.8824702476680605,3.736365416625869
주식회사 경연파트너스,중소기업,93182,0,6983,-6384,-13622,93182,69082,40750,7418,7737,-1818,2022,딥러닝,-5.080308030803081,1.286674846625767,-1.5126266333871679,-5.080308030803081,1.286674846625767,-1.5126266333871679
대웅기연,중소기업,397248,3851,905579,904872,919383,397248,363911,426659,10771,1136,22707,2022,딥러닝,-0.525652882371075,-0.06893326989469342,-0.015014417277674266,-0.525652882371075,-0.06893326989469342,-0.015014417277674266
주식회사 딥브레인에이아이,중소기업,647159,6230,2409251,3507813,198721,647159,321097,265621,-1098532,-391062,-415109,2022,딥러닝,1.6463699895690047,1.4363999834350447,11.123786615405518,1.6463699895690047,1.4363999834350447,11.123786615405518
제이엠피코리아,중소기업,1072714,2714,245185,211407,208163,1072714,958558,980481,33778,13243,18974,2022,딥러닝,0.7802255718351429,0.09406913545494508,0.17785101098658262,0.7802255718351429,0.09406913545494508,0.17785101098658262
주식회사트윔,중소기업,1956161,0,6598595,7490969,4590436,1956161,2160300,1825956,-531652,218643,291015,2022,딥러닝,-2.8268886483514595,0.07130785188690199,0.43746585291680357,-2.8268886483514595,0.07130785188690199,0.43746585291680357
카이어,중소기업,30227,6030,-239,3188,4415,30227,18931,5100,-3427,-1084,-5941,2022,딥러닝,-0.42316108399259383,4.926862745098039,-1.0541336353340884,-0.42316108399259383,4.926862745098039,-1.0541336353340884
케이저,중소기업,2447,0,17838,24087,8687,2447,1458,524,1556,-7965,5927,2022,딥러닝,-0.7374725830943142,3.6698473282442747,1.05341314608035,-0.7374725830943142,3.6698473282442747,1.05341314608035
고큐바테크놀로지,중소기업,77704,4482,148644,47252,32845,77704,23363,14471,645,9447,13921,2022,딥러닝,-0.9536671216148265,4.36963582337088,3.525620337950982,-0.9536671216148265,4.36963582337088,3.525620337950982
고스트패스,중소기업,5656,5292,784,-4235,5415,5656,1000,181,-8007,-15157,-7372,2022,딥러닝,0.08613673358654368,30.248618784530386,-0.8552169898430286,0.08613673358654368,30.248618784530386,-0.8552169898430286
스카우트,중소기업,2616931,3147,482113,437795,362214,2616931,2237130,1985108,44318,75581,66091,2022,딥러닝,-0.32943971191236326,0.31828142347922633,0.3310170230858001,-0.32943971191236326,0.31828142347922633,0.3310170230858001
아이티엔제이,중소기업,200439,4205,103552,103233,98580,200439,214805,204974,318,4652,2280,2022,딥러닝,-0.8605263157894737,-0.02212475728628997,0.05043619395414892,-0.8605263157894737,-0.02212475728628997,0.05043619395414892
세미브레인,중소기업,10000,0,42701,10603,16167,2000,2000,1500,-7902,-13963,11311,2022,딥러닝,-1.6986119706480418,0.3333333333333333,1.6412445104224656,-1.6986119706480418,0.3333333333333333,1.6412445104224656
넥슨코리아,대기업,250401322,7121,534940163,596569328,221195756,250401322,193347529,215548216,44426909,452328209,45018199,2022,딥러닝,-0.013134465907887609,0.1616951726475899,1.4184015673429105,-0.013134465907887609,0.1616951726475899,1.4184015673429105
크래프톤,중견기업,176777581,7160,504230426,459207918,120080269,176777581,182837378,9543703,48714260,54220225,515150,2022,딥러닝,93.5632534213336,17.522954978795966,3.1991113960612463,93.5632534213336,17.522954978795966,3.1991113960612463
이노메트리,중소기업,7373536,5684,5654811,5404691,4760529,7373536,4465577,2049419,314445,369280,-408356,2022,딥러닝,-1.7700266434189775,2.5978665172909983,0.18785349275259114,-1.7700266434189775,2.5978665172909983,0.18785349275259114
에이치알맨파워그룹,중소기업,847445,5026,154362,144192,131953,847445,876651,620528,10170,12238,2689,2022,딥러닝,2.7820751208627743,0.3656837402985844,0.16982561972823657,2.7820751208627743,0.3656837402985844,0.16982561972823657
코난테크놀로지,중소기업,1538816,5594,4060608,1431137,439886,1538816,1784909,1400147,-327684,189397,148767,2022,딥러닝,-3.202665913811531,0.09903888663118944,8.231046225613,-3.202665913811531,0.09903888663118944,8.231046225613
보잉코리아(유),중소기업,5315190,7113,11635718,10797202,9984411,5315190,4260407,4298664,839484,811823,150824,2022,딥러닝,4.565984193497056,0.2364748675402404,0.16538852417032912,4.565984193497056,0.2364748675402404,0.16538852417032912
넷마블컴퍼니,대기업,96260479,0,485569256,567329358,514810794,96260479,131959571,137842947,-53376830,43849201,10341958,2022,딥러닝,-6.1611919135622095,-0.30166554695032743,-0.056800553408753895,-6.1611919135622095,-0.30166554695032743,-0.056800553408753895
써로마인드,중소기업,322316,5121,197929,155739,148288,322316,76933,63836,43858,8515,35827,2022,딥러닝,0.22416054930638904,4.049125885080519,0.3347607358653431,0.22416054930638904,4.049125885080519,0.3347607358653431
주식회사 와이앤와이,중소기업,60624,5764,32809,29042,11277,60624,100060,72913,4216,18078,3795,2022,딥러닝,0.11093544137022397,-0.16854333246471823,1.909373060211049,0.11093544137022397,-0.16854333246471823,1.909373060211049
클라리파이,중소기업,0,4887,-887078,163087,22508,145038,24149,55122,-511216,-159419,-91096,2022,딥러닝,4.611838060946694,1.631218025470774,-40.411675848587166,4.611838060946694,1.631218025470774,-40.411675848587166
타노스,중소기업,168819,5641,355160,383446,385917,168819,146531,447109,28414,988,146484,2020,딥러닝,-0.8060265967614211,-0.6224209309139382,-0.07969848438913031,-0.8060265967614211,-0.6224209309139382,-0.07969848438913031
에이치포테크,중소기업,137927,4235,57608,17054,13246,137927,56349,45046,42090,4451,9753,2022,딥러닝,3.315595201476469,2.0619144874128668,3.3490865166842823,3.315595201476469,2.0619144874128668,3.3490865166842823
서울엔지니어링,중소기업,803181,5052,822748,820689,796849,803181,720610,570804,2059,23839,-140627,2022,딥러닝,-1.014641569542122,0.40710471545399124,0.03250176633214072,-1.014641569542122,0.40710471545399124,0.03250176633214072
딥인스펙션,중소기업,207142,2886,749890,303846,297418,207142,192078,219285,18587,18948,34016,2022,딥러닝,-0.45358066792097834,-0.05537542467565041,1.5213336112810927,-0.45358066792097834,-0.05537542467565041,1.5213336112810927
삼정KPMG그룹,중견기업,76102013,6087,5300400,5131074,4695364,31907438,30044745,27591978,169326,435709,1017185,2017,딥러닝,-0.8335347060760825,0.1564027051630731,0.1288581673327137,-0.8335347060760825,0.1564027051630731,0.1288581673327137
프로매치코리아,중소기업,423497,3606,114350,82310,78616,423497,265846,325101,33839,3693,12757,2021,딥러닝,1.652582895665125,0.3026628647712557,0.45453851633255316,1.652582895665125,0.3026628647712557,0.45453851633255316
크라우드웍스,중소기업,1068913,4484,443875,-3259384,-902646,1068913,849281,738923,-1309652,-2447503,-607381,2022,딥러닝,1.156228133576783,0.44658239085804613,-1.4917487032568693,1.156228133576783,0.44658239085804613,-1.4917487032568693
와디즈,중소기업,3414284,3339,199293,2903429,1886636,3414284,1211258,119309,-3065406,-2083944,-7236942,2022,딥러닝,-0.5764224723647088,27.617153777166852,-0.8943659508246424,-0.5764224723647088,27.617153777166852,-0.8943659508246424
더컴퍼니,중소기업,126556,3982,7627,5014,2939,45601,9338,4123,2613,2075,442,2020,딥러닝,4.911764705882353,10.06015037593985,1.595100374276965,4.911764705882353,10.06015037593985,1.595100374276965
무스마,중소기업,408142,4300,588357,426755,225786,408142,191132,67678,11597,-99021,-38776,2022,딥러닝,-1.2990767485042294,5.0306451136262895,1.6058170125694242,-1.2990767485042294,5.0306451136262895,1.6058170125694242
메디씽큐,중소기업,200291,5559,59401,24108,73823,200291,81720,64609,-186796,-224086,-114539,2022,딥러닝,0.6308506272972525,2.1000479809314494,-0.19535916990639773,0.6308506272972525,2.1000479809314494,-0.19535916990639773
아이아이에스티,중소기업,626474,4382,171677,153507,131889,626474,750111,822898,18169,21896,34425,2022,딥러닝,-0.4722149600580973,-0.23869787020991667,0.30167792613485583,-0.4722149600580973,-0.23869787020991667,0.30167792613485583
한국정보기술단,중소기업,3829151,4682,1517542,1352527,790173,3829151,2757914,2243032,165014,240557,177639,2022,딥러닝,-0.07107110488124792,0.707131686039254,0.9205186712276932,-0.07107110488124792,0.707131686039254,0.9205186712276932
쉬모스랩,중소기업,22833,3932,10266,4684,6441,22833,31050,1454,581,5743,-7087,2022,딥러닝,-1.081981092140539,14.703576341127922,0.5938518863530508,-1.081981092140539,14.703576341127922,0.5938518863530508
여의시스템,중소기업,4981895,5222,3458002,3198613,2919476,4981895,4487212,3921157,284694,321996,297167,2022,딥러닝,-0.0419730319988424,0.27051658477332075,0.18445981402142028,-0.0419730319988424,0.27051658477332075,0.18445981402142028
스펠릭스,중소기업,607933,5295,233281,139471,60984,607933,439726,337769,103852,78569,7870,2022,딥러닝,12.195933926302414,0.799848417113471,2.825282041191132,12.195933926302414,0.799848417113471,2.825282041191132
비아이씨티,중소기업,19513,4850,18865,11954,10841,19513,8351,3830,6911,1150,3841,2022,딥러닝,0.7992710231710493,4.094778067885118,0.7401531224056821,0.7992710231710493,4.094778067885118,0.7401531224056821
KSC&C,중소기업,866988,4280,228764,162545,82254,866988,813154,562338,76219,82290,17508,2022,딥러닝,3.3533813114005024,0.5417560257354118,1.7811899725241325,3.3533813114005024,0.5417560257354118,1.7811899725241325
하나금융티아이,중견기업,28292263,6752,19691102,10596219,10690009,28292263,25536476,22502280,8473290,122618,-10245,2022,딥러닝,-828.0658857979503,0.2573065040520338,0.8420098617316412,-828.0658857979503,0.2573065040520338,0.8420098617316412
SK플래닛 Tacademy,대기업,27786713,0,20713467,32777669,32213419,27786713,28062992,27646171,15808625,600348,130491,2022,딥러닝,120.14724387122483,0.0050835972909232165,-0.3569925936765669,120.14724387122483,0.0050835972909232165,-0.3569925936765669
유진로봇,중견기업,4962886,5831,4407152,3913085,4129929,4962886,2764629,2463697,487708,-143454,-1025288,2022,로봇제어,-1.475679028721686,1.0144059922953188,0.06712536704626157,-1.475679028721686,1.0144059922953188,0.06712536704626157
글로벌로보틱스,중소기업,1471895,4877,582599,682460,313607,1471895,1712280,1911155,-100248,43730,-39806,2022,로봇제어,1.5184143094005929,-0.2298400705332639,0.857735956148938,1.5184143094005929,-0.2298400705332639,0.857735956148938
루덴스파트너스,중소기업,184253,3468,30286,27812,-13429,184253,125177,11960,2614,-23757,-18186,2022,로봇제어,-1.1437369405036841,14.40576923076923,-3.255268448879291,-1.1437369405036841,14.40576923076923,-3.255268448879291
제타크리젠,중소기업,55301,5583,22695,33739,31689,55301,95773,71630,-11044,2070,1988,2022,로봇제어,-6.55533199195171,-0.22796314393410583,-0.28382088421849855,-6.55533199195171,-0.22796314393410583,-0.28382088421849855
마젠타로보틱스,중소기업,192598,4673,26273,20905,16498,192598,106183,60539,5368,4407,3469,2022,로봇제어,0.5474200057653502,2.1813872049422685,0.5924960601285004,0.5474200057653502,2.1813872049422685,0.5924960601285004
아이엠티에프에이,중소기업,410458,0,318703,177044,150361,410458,377300,273021,30835,26683,6401,2022,로봇제어,3.8172160599906264,0.5033935118543995,1.1195855308224871,3.8172160599906264,0.5033935118543995,1.1195855308224871
제일유리주식회사,중소기업,2091211,4429,603967,602382,455339,2091211,2354421,1970398,1585,28828,22955,2022,로봇제어,-0.9309518623393597,0.06131400864190889,0.3264117503662107,-0.9309518623393597,0.06131400864190889,0.3264117503662107
스타웰즈,중소기업,61206,3563,79766,72379,63680,61206,54197,10922,-22418,9839,6769,2022,로봇제어,-4.311862904417196,4.603918696209486,0.252606783919598,-4.311862904417196,4.603918696209486,0.252606783919598
디엠테크놀러지,중소기업,1356272,6238,1672847,1626150,1571018,1356272,1020441,1367884,46641,54848,22736,2022,로봇제어,1.0514162561576355,-0.008489023923081197,0.06481720769590164,1.0514162561576355,-0.008489023923081197,0.06481720769590164
코웨이,중견기업,281348892,5796,197569655,165886246,138597477,281348892,281464816,259254694,37131777,34655918,28055060,2022,로봇제어,0.3235322612035048,0.08522197866164768,0.4254924351905771,0.3235322612035048,0.08522197866164768,0.4254924351905771
프로닉스,중소기업,40097,2450,7906,7223,3333,40097,56453,2700,691,4322,375,2022,로봇제어,0.8426666666666667,13.85074074074074,1.372037203720372,0.8426666666666667,13.85074074074074,1.372037203720372
유베이스,중견기업,41483537,0,43116694,43356198,42829078,41483537,38957479,39419956,754269,1382983,-316589,2022,로봇제어,-3.38248644141142,0.05234863783206658,0.006715437581915726,-3.38248644141142,0.05234863783206658,0.006715437581915726
이오스시스템,중소기업,879274,4159,156966,123709,10584,879274,663238,429679,35586,22909,-29452,2022,로봇제어,-2.2082710851555074,1.046350880541055,13.830498866213151,-2.2082710851555074,1.046350880541055,13.830498866213151
로보트로,중소기업,112335,0,17530,28055,14468,112335,116205,111645,15475,15287,12126,2022,로봇제어,0.27618340755401616,0.006180303641004971,0.21163948023223667,0.27618340755401616,0.006180303641004971,0.21163948023223667
한화,대기업,387992548,0,334410943,358732324,349246351,387992548,393556852,400077486,28658932,13148641,12867802,2022,로봇제어,1.227181611902328,-0.030206493549102136,-0.04247834789832922,1.227181611902328,-0.030206493549102136,-0.04247834789832922
AJ네트웍스 주식회사,중견기업,59193399,5464,36365953,37278834,29844470,59193399,48552371,45355489,-143369,7406325,1712061,2022,로봇제어,-1.083740591018661,0.3050989043465059,0.2185156245026298,-1.083740591018661,0.3050989043465059,0.2185156245026298
인천대학교,대기업,23284114,0,164696540,161616959,115604536,23284114,66797378,28460157,3079580,46012423,7627212,2022,로봇제어,-0.5962377864939378,-0.18186979783702528,0.42465465195933144,-0.5962377864939378,-0.18186979783702528,0.42465465195933144
기승공업,중소기업,3867527,0,1218204,1207770,1187070,3867527,3753396,5195132,10434,20699,18810,2020,로봇제어,-0.44529505582137163,-0.25554788598249284,0.026227602416032753,-0.44529505582137163,-0.25554788598249284,0.026227602416032753
주식회사 에프엠,중소기업,237727,0,352961,343463,331796,237727,246235,206329,9497,11666,12375,2022,로봇제어,-0.23256565656565656,0.15217443985091772,0.06378919577089537,-0.23256565656565656,0.15217443985091772,0.06378919577089537
조선대학교,소기업,26021816,2614,40229756,42040967,50774077,26021816,25439896,46809256,-1232798,-928400,-315401,2019,로봇제어,2.9086686472141814,-0.44408823759130034,-0.2076713477233668,2.9086686472141814,-0.44408823759130034,-0.2076713477233668
나린알앤디,중소기업,217500,4066,73400,79300,31200,217500,488100,151300,-5700,28000,20500,2018,로봇제어,-1.278048780487805,0.43754130865829477,1.3525641025641026,-1.278048780487805,0.43754130865829477,1.3525641025641026
기광산업,중소기업,6536606,4526,2025175,2221840,2036592,6536606,4992772,4923022,-1091099,61337,76013,2022,로봇제어,-15.354110481101916,0.3277629066049268,-0.0056059338345628386,-15.354110481101916,0.3277629066049268,-0.0056059338345628386
주식회사가치소프트,중소기업,1007883,4966,353843,121658,90686,1007883,526441,306213,232185,31093,12075,2022,로봇제어,18.228571428571428,2.2914441908083587,2.9018481353240855,18.228571428571428,2.2914441908083587,2.9018481353240855
주식회사 디알비동일,중견기업,4084759,0,19665336,20210732,21858977,4084759,9576189,10882239,-490464,-1643401,162201,2022,로봇제어,-4.023803798990142,-0.6246398374452169,-0.10035423890148198,-4.023803798990142,-0.6246398374452169,-0.10035423890148198
포스코에이앤씨건축사사무소,대기업,18508101,6713,3624218,3185315,3106935,18508101,17900619,15360472,340741,242312,481629,2022,로봇제어,-0.29252391363476865,0.20491746607786532,0.16649302286658715,-0.29252391363476865,0.20491746607786532,0.16649302286658715
하스오토메이션코리아,중소기업,1320221,5691,366907,428650,409765,1320221,1604256,1389421,-58743,21884,7036,2022,로봇제어,-9.348919840818647,-0.04980491873953251,-0.1045916561931839,-9.348919840818647,-0.04980491873953251,-0.1045916561931839
주식회사 눈(NOON),중소기업,89000,4397,10100,16505,20893,71400,44665,42845,7100,14512,3187,2016,로봇제어,1.2278004392845936,0.6664721671140157,-0.5165845019863112,1.2278004392845936,0.6664721671140157,-0.5165845019863112
에스유아이티,소기업,92096,3160,76378,68984,61051,92096,215681,233792,7347,7937,26886,2022,로봇제어,-0.7267351037714795,-0.6060771968245278,0.25105239881410624,-0.7267351037714795,-0.6060771968245278,0.25105239881410624
엘에스메카피온,대기업,6000090,0,2362509,1720449,1374257,6000090,4522362,3475745,621939,349917,329618,2022,로봇제어,0.8868478056416822,0.7262745109321886,0.7191173121184756,0.8868478056416822,0.7262745109321886,0.7191173121184756
씨에스아이시스템주식회사,중소기업,177010,4695,41469,47523,38780,177010,188780,132073,3077,8743,6668,2019,로봇제어,-0.5385422915416916,0.3402436531312229,0.06933986591026302,-0.5385422915416916,0.3402436531312229,0.06933986591026302
주식회사리얼게인,중소기업,2342041,5623,2558879,1373306,1399894,2342041,2046260,654423,496255,373411,69234,2022,로봇제어,6.167793280758009,2.5787877259815133,0.8279091131185647,6.167793280758009,2.5787877259815133,0.8279091131185647
브이씨티이,중소기업,1591477,4619,415129,389590,192686,1591477,1515962,954317,25539,196903,-70442,2022,로봇제어,-1.3625535901876722,0.6676607458527931,1.1544326001889085,-1.3625535901876722,0.6676607458527931,1.1544326001889085
디자인피버,중소기업,1324444,4332,460683,514910,503859,1324444,1621345,1714708,35773,41050,96617,2022,로봇제어,-0.629744247906683,-0.22759793504200132,-0.08569063964323352,-0.629744247906683,-0.22759793504200132,-0.08569063964323352
덴티움,중견기업,35580000,5340,32409542,26498231,22069831,28531092,22524207,17884341,6149604,4700302,1444758,2022,로봇제어,3.2564941671892456,0.5953113396797791,0.4684997814437274,3.2564941671892456,0.5953113396797791,0.4684997814437274
아이씨디,중견기업,13328640,5835,14237010,15953573,17265979,13328640,10251425,29384691,-810564,-90650,2916575,2022,로봇제어,-1.2779163916580236,-0.5464087064927788,-0.17542990177388726,-1.2779163916580236,-0.5464087064927788,-0.17542990177388726
프레도,중소기업,20565,4435,13766,258,-25701,20565,8975,12611,-46132,-22035,-31470,2021,로봇제어,0.46590403558945026,0.6307192133851399,-1.5356211820551728,0.46590403558945026,0.6307192133851399,-1.5356211820551728
씨제이대한통운,대기업,821465386,6437,342674966,341680405,326584204,821465386,772864670,693611989,20057620,9378150,9554908,2022,로봇제어,1.0991955129238293,0.1843298544829507,0.049269872219539435,1.0991955129238293,0.1843298544829507,0.049269872219539435
