기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)포디게이트,신입 · 경력 · 정규직,"월급 300 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","경기 수원시 권선구 산업로156번길 142-10, A동 6층 612호",드론,중소기업업종무인 항공기 및 무인 비행장치 제조업,10,"6억 1,620만"
한국씨앤오테크(주),경력무관 · 정규직,면접 후 결정,경북 문경시 영순면 새갓길 20,드론,"중소기업, 스타트업, 수출입 기업업종무기 및 총포탄 제조업",103,-
(주)비씨디이엔씨,경력무관 · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-
태성플랜트검정(주),경력무관 · 계약직,면접 후 결정,울산 남구 신두왕로 21,드론,"중소기업업종기타 기술 시험, 검사 및 분석업",45,-
(주)비씨디이엔씨,경력(년수무관) · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-
한국무인항공기술시험원,경력무관 · 아르바이트 외,"시급 12,000원","부산 동구 중앙대로 282, 3층",드론,"중소기업업종전자상거래 소매 중개업기업주소부산 동구 중앙대로 282, 3층",-,-
아이티즈,경력무관 · 정규직,면접 후 결정,"대전 유성구 테크노4로 17, A동 6층 602호 (관평동,대덕비즈센터)",드론,중소기업업종무인 항공기 및 무인 비행장치 제조업,9,"50억 8,000만"
(주)비씨디이엔씨,경력무관 · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-
(주)비씨디이엔씨,경력무관 · 정규직,면접 후 결정,"경기 양주시 광적면 부흥로 847, 431호 (가납리,경기벤처타운)",드론,중소기업업종그 외 기타 플라스틱 제품 제조업설립일,-,-
(주)서림테크놀로지,경력 5년↑ · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 145, 1007호",드론,중소기업업종유선 통신장비 제조업,66,-
모아플래닛,경력 2년↑ · 프리랜서,면접 후 결정,-,드론,-,-,-
베셀에어로스페이스(주),5 ~ 6년 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 281,드론,"중소기업, 연구소, 주식회사, 병역특례 ..업종유인 항공기, 항공우주선 및 보조장치 제..",110,"24억 8,520만"
(주)파블로항공,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 벤처로 82, 5층",드론,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업설립일",-,-
(주)화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,드론,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만"
(주)화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,드론,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만"
영풍전자(주),신입 · 경력 · 정규직,면접 후 결정,경남 창원시 의창구 죽전로82번길 31,드론,"중소기업, 주식회사, 외부감사법인, 수출..업종배전반 및 전기 자동제어반 제조업",227,-
에이블이엔씨(주),경력 2년↑ · 정규직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","서울 중랑구 신내역로 111, 1011호 1010호,1011호",드론,중소기업업종내부 통신배선 공사업,114,-
포항직업전문학교,경력 1년↑ · 정규직 외,면접 후 결정,경북 포항시 남구 냉천로 58,드론,"중소기업, 학교/교육기관업종운전학원매출액",-,-
(주)에어로리서치,신입 · 정규직,면접 후 결정,"경남 양산시 물금읍 부산대학로 144, 204호, 205호 (범어리,신양산코아루캠퍼스시티)",드론,"중소기업, 주식회사업종무인 항공기 및 무인 비행장치 제조업",5,-
에스큐엔지니어링(주),경력무관 · 정규직 외,면접 후 결정,"서울 송파구 중대로 212, 4층",드론,"주식회사, 외부감사법인, 병역특례 인증..업종기타 기술 시험, 검사 및 분석업",139,-
(주)프리뉴,신입 · 경력 · 정규직,면접 후 결정,"경기 안산시 단원구 산단로 325, 에프-501호,502호,503호,513호,514호,854호 (신길동,리드스마트스퀘어지)",드론,"중소기업, 주식회사업종항공기용 부품 제조업",88,"53억 9,290만"
(주)브이비젼,경력 5년↑ · 정규직,면접 후 결정,"서울 송파구 위례성대로20길 31, 4층",드론,중소기업업종경영 컨설팅업설립일*,-,-
에이치알포유(주),경력 2년↑ · 정규직,면접 후 결정,경기 오산시 지곶중앙로 1-19,드론,"코스닥, 중견기업, 스타트업, 주식회사, ..업종디스플레이 제조용 기계 제조업",331,"1,888억 9,011만"
(주)비에이블컨설팅그룹,경력 4년↑ · 정규직,면접 후 결정,"서울 금천구 가산디지털2로 165, 1501호",드론,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-
