기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)티라로보틱스,경력무관 · 정규직,면접 후 결정,"경기 성남시 중원구 둔촌대로 388, 304호 (상대원동,크란츠테크노)",딥러닝,"중소기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",45,-
(주)마크클라우드,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 테헤란로70길 14-8, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",14,-
(주)컴퓨터메이트,경력 2년↑ · 정규직,면접 후 결정,대구 수성구 알파시티1로35길 23,딥러닝,"중소기업, 주식회사, 병역특례 인증업체,..업종응용 소프트웨어 개발 및 공급업",73,-
농심엔지니어링(주),신입 · 경력 · 정규직,면접 후 결정,서울 동작구 여의대방로 112,딥러닝,"중견기업, 외부감사법인, 수출입 기업업종기타 엔지니어링 서비스업",144,"1,500억"
(주)앰진,신입 · 경력 · 정규직,면접 후 결정,"서울 송파구 정의로8길 13, 5층 (문정동,수성위너스)",딥러닝,"중소기업, 주식회사업종컴퓨터시스템 통합 자문 및 구축 서비스업",24,"34억 3,881만"
미디어젠(주),신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 분당구 성남대로331번길 8, 11층 1103호",딥러닝,"코스닥, 중소기업, 외부감사법인, 연구소..업종응용 소프트웨어 개발 및 공급업",189,-
(주)다비오,3 ~ 7년 · 정규직,면접 후 결정,"서울 마포구 마포대로 144, 8층 (공덕동,마포티타운)",딥러닝,"중소기업, 스타트업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-
(주)데이터트리,신입 · 경력 · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만"
(주)싸인랩,경력무관 · 정규직,면접 후 결정,"부산 부산진구 가야대로 406, 4층",딥러닝,"중소기업, 연구소, 주식회사업종시스템 소프트웨어 개발 및 공급업",20,"24억 8,212만"
와디즈(주),2 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로 242, A동 402호",딥러닝,중소기업업종경영 컨설팅업,319,220억
(주)미니레코드,3 ~ 6년 · 정규직 외,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만"
네이버랩스(주),신입 · 인턴직,면접 후 결정,"경기 성남시 분당구 정자일로 95, 18층",딥러닝,"대기업, 1000대기업, 외부감사법인, 연구..업종그 외 기타 정보 서비스업",226,-
네이버랩스(주),신입 · 인턴직,면접 후 결정,"경기 성남시 분당구 정자일로 95, 18층",딥러닝,"대기업, 1000대기업, 외부감사법인, 연구..업종그 외 기타 정보 서비스업",226,-
(주)에이아이인사이트,3 ~ 5년 · 정규직,면접 후 결정,"부산 금정구 부산대학로63번길 2, 비101-2호씨",딥러닝,"중소기업, 연구소, 주식회사업종그 외 기타 의료용 기기 제조업",8,-
(주)에이아이인사이트,3 ~ 5년 · 정규직,면접 후 결정,"부산 금정구 부산대학로63번길 2, 비101-2호씨",딥러닝,"중소기업, 연구소, 주식회사업종그 외 기타 의료용 기기 제조업",8,-
미어제트(MeerZet),경력무관 · 정규직,"월급 260 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",대구 동구 동대구로 469 대구콘텐츠비즈니스센터LH창업지원주택 13층 아크룸(창의룸),딥러닝,-,-,-
(주)에이모,1 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로228번길 17, 이랜텍동9층 (삼평동,판교세븐벤처밸리2)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-
(주)에이모,3 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로228번길 17, 이랜텍동9층 (삼평동,판교세븐벤처밸리2)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-
(주)인덴트코퍼레이션,3 ~ 9년 · 정규직,회사내규에 따름,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만"
(주)알세미,신입 · 경력 · 정규직,회사내규에 따름,서울 강남구 봉은사로78길 16,딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종시스템 소프트웨어 개발 및 공급업",29,-
(주)알세미,신입 · 경력 · 정규직,회사내규에 따름,서울 강남구 봉은사로78길 16,딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종시스템 소프트웨어 개발 및 공급업",29,-
(주)마크클라우드,신입 · 경력 · 정규직,회사내규에 따름,"서울 강남구 테헤란로70길 14-8, 4층",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",14,-
(주)아이브,2 ~ 9년 · 정규직,회사내규에 따름,"경기 용인시 수지구 광교중앙로 338, 제에이 721호, 722호",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",63,-
(주)다이얼로그디자인에이전시,3 ~ 5년 · 정규직,회사내규에 따름,"서울 동대문구 청계천로 489, 9층",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,18,14억 560만
슈어소프트테크(주),3 ~ 15년 · 정규직,회사내규에 따름,"경기 성남시 수정구 금토로80번길 37, E동 (금토동,인피니티타워)",딥러닝,"코스닥, 중소기업, 스타트업, 주식회사, ..업종응용 소프트웨어 개발 및 공급업",399,-
(주)다이얼로그디자인에이전시,5 ~ 7년 · 정규직,회사내규에 따름,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만"
(주)로민,5 ~ 10년 · 정규직,회사내규에 따름,-,딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..홈페이지",-,-
(주)앤씨앤,신입 · 경력 · 정규직,회사내규에 따름,경기 성남시 분당구 판교로 323,딥러닝,"코스닥, 외부감사법인, 수출입 기업업종기타 반도체소자 제조업",141,-
(주)파인더스,3 ~ 10년 · 정규직,회사내규에 따름,"서울 영등포구 의사당대로 83, 4층 101호",딥러닝,"중소기업, 연구소, 주식회사업종데이터베이스 및 온라인정보 제공업",21,-
(주)에이모,1 ~ 8년 · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로228번길 17, 이랜텍동9층 (삼평동,판교세븐벤처밸리2)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-
(주)미니레코드,2 ~ 10년 · 정규직,회사내규에 따름,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만"
(주)플래티어,2 ~ 15년 · 정규직,회사내규에 따름,"서울 송파구 법원로9길 26, 디동 제6층 (문정동,에이치비지니스파크)",딥러닝,"코스닥, 중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",265,-
(주)플래티어,2 ~ 15년 · 정규직,회사내규에 따름,"서울 송파구 법원로9길 26, 디동 제6층 (문정동,에이치비지니스파크)",딥러닝,"코스닥, 중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",265,-
