기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)위너스오토메이션,경력 5년↑ · 정규직,면접 후 결정,"경기 수원시 권선구 오목천로152번길 24, 3층.4층",로봇제어,"중소기업, 주식회사업종기타 산업용 기계 및 장비 도매업",66,-
(주)칼만,신입 · 경력 · 정규직 외,면접 후 결정,"경북 경주시 태종로 516, 산학협력관 2층 207호 (충효동,서라벌대학교)",로봇제어,"중소기업, 연구소, 주식회사, 병역특례 ..업종산업용 로봇 제조업",11,-
(주)한양정밀,신입 · 경력 · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로89번길 140,로봇제어,"중견기업, 외부감사법인, 수출입 기업업종그 외 자동차용 신품 부품 제조업",184,-
(주)케이엔케이,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 기산로87번길 2,로봇제어,"중소기업, 외부감사법인, 연구소, 주식회..업종전자기 측정, 시험 및 분석기구 제조업",56,-
(주)미래컴퍼니,경력 5년↑ · 정규직,면접 후 결정,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",346,-
동원금속(주),신입 · 경력 · 정규직,면접 후 결정,경북 경산시 진량읍 북리1길 69,로봇제어,"코스피, 중견기업, 외부감사법인, 수출입..업종자동차 차체용 신품 부품 제조업",342,-
(주)듀어코리아,신입 · 정규직,면접 후 결정,"서울 구로구 경인로 662, 20층",로봇제어,중견기업업종건물용 기계ㆍ장비 설치 공사업,120,-
(주)뉴로메카,신입 · 경력 · 정규직 외,면접 후 결정,서울 성동구 아차산로 78,로봇제어,"코스닥, 중소기업, 스타트업, 주식회사, ..업종산업용 로봇 제조업",142,"73억 3,308만"
(주)제이디,경력무관 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 80,로봇제어,"중소기업, 주식회사, 수출입 기업업종컴퓨터 제조업",66,"162억 9,442만"
(주)포스코에이앤씨건축사사무소,경력(년수무관) · 정규직 외,면접 후 결정,"인천 연수구 컨벤시아대로 165, 24층",로봇제어,"대기업, 외부감사법인업종건축설계 및 관련 서비스업",1097,"1,536억 473만"
(주)미래컴퍼니,경력 2년↑ · 정규직,면접 후 결정,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",346,-
(주)미래컴퍼니,경력 3년↑ · 정규직,면접 후 결정,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",346,-
(주)베바스토코리아홀딩스,신입 · 경력 · 정규직,면접 후 결정,울산 울주군 온산읍 처용산업로 6,로봇제어,"중견기업, 외국 법인기업, 외부감사법인,..업종그 외 자동차용 신품 부품 제조업",450,-
(주)세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,로봇제어,중소기업업종그 외 자동차용 신품 부품 제조업,52,-
(주)원익아이피에스,경력무관 · 정규직,면접 후 결정,경기 평택시 진위면 진위산단로 75,로봇제어,"코스닥, 중견기업, 주식회사, 병역특례 ..업종반도체 제조용 기계 제조업",1592,-
(주)로엔서지컬,경력 5년↑ · 정규직,면접 후 결정,"대전 유성구 문지로 193, T동 122호",로봇제어,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",54,-
(주)로엔서지컬,경력 2년↑ · 정규직,면접 후 결정,"대전 유성구 문지로 193, T동 122호",로봇제어,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",54,-
(주)나인벨,2 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)나인벨,5 ~ 20년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)나인벨,2 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)나인벨,2 ~ 5년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)씨아이제이코리아,경력무관 · 정규직,면접 후 결정,경기 오산시 서랑로 36,로봇제어,"중소기업, 주식회사, 병역특례 인증업체,..업종컴퓨터 제조업설립일",-,-
주식회사잇츠센서,신입 · 경력 · 정규직,면접 후 결정,"대구 달서구 월곡로 260, 7층 (상인프라자)",로봇제어,"중소기업, 주식회사업종솔루션·SI·ERP·CRM설립일",-,-
(주)엠바이지,신입 · 경력 · 정규직,면접 후 결정,"부산 영도구 남항서로 42, 3층",로봇제어,"중소기업, 주식회사업종배전반 및 전기 자동제어반 제조업",12,-
(주)유엔디,경력무관 · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 31,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",20,-
(주)아이로,경력무관 · 정규직,면접 후 결정,"경기 광명시 덕안로104번길 17, 310호,311호,312호,313호",로봇제어,"중소기업, 외국인 투자기업, 연구소, 주..업종산업용 로봇 제조업",17,"8억 7,810만"
라온로보틱스,경력 5년↑ · 정규직,"연봉 4,200 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",부산 기장군 정관읍 정관상곡1길 17-10,로봇제어,중소기업업종산업용 로봇 제조업,11,-
(주)시스콘로보틱스,경력무관 · 정규직,면접 후 결정,"인천 서구 로봇랜드로 155-30, 4층 (청라동,로봇알앤디센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체홈페이지",-,-
(주)시스콘로보틱스,경력 3년↑ · 정규직,면접 후 결정,"인천 서구 로봇랜드로 155-30, 4층 (청라동,로봇알앤디센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체홈페이지",-,-
(주)하이퍼놀로지,신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 장안구 서부로 2066, 산학협력센터 85407호 (천천동,성균관대학교)",로봇제어,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",9,-
(주)뉴빌리티,경력(년수무관) · 정규직,면접 후 결정,"서울 성동구 왕십리로 115, 2층",로봇제어,"중소기업, 스타트업, 연구소, 주식회사, ..업종컴퓨터 프로그래밍 서비스업",98,-
(주)트윔,경력 2년↑ · 정규직,면접 후 결정,경기 화성시 삼성1로4길 7-4,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",150,"182억 5,956만"
주식회사휴먼인모션로보틱스아시아,경력 1년↑ · 정규직,면접 후 결정,"서울 강남구 역삼로 227, 3층 (역삼동, 썬스코 빌딩)",로봇제어,"외국인 투자기업, 주식회사업종기계·설비·자동차설립일",-,-
(주)트리즈엔지니어링,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄산단5길 10-12,로봇제어,"중소기업, 주식회사업종기타 엔지니어링 서비스업",24,"23억 5,687만"
(주)라덱셀,3 ~ 10년 · 정규직,면접 후 결정,"강원 춘천시 충혼길52번길 10, 3층 302호",로봇제어,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-
(주)라덱셀,3 ~ 10년 · 정규직,면접 후 결정,"강원 춘천시 충혼길52번길 10, 3층 302호",로봇제어,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-
(주)지비티코리아,신입 · 정규직,면접 후 결정,"경기 군포시 당정로 90, 가동 401-1호,401-2호,401-3호 (당정동,신라테크노빌)",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 반도체소자 제조업",31,79억
(주)알투비,경력무관 · 정규직,"연봉 3,300 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","인천 남동구 은봉로 52, 5층 506호 (논현동,엔아이씨지식산업센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체,..업종그 외 기타 분류 안된 금속 가공 제품 제..",9,-
(주)지오로봇,경력무관 · 정규직,면접 후 결정,"대구 달서구 달구벌대로 1130, 1층 101호",로봇제어,중소기업업종산업용 로봇 제조업,7,-
(주)테솔로,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 컨벤시아대로 165, 26층 브이454",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",10,"3억 3,900만"
(주)테솔로,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 컨벤시아대로 165, 26층 브이454",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",10,"3억 3,900만"
(주)럭스로보,경력 5년↑ · 정규직,면접 후 결정,"서울 서초구 강남대로 311, 13층",로봇제어,"중소기업, 스타트업, 주식회사, 병역특례..업종산업용 로봇 제조업",80,-
(주)에니아이,경력무관 · 정규직 외,면접 후 결정,서울 성동구 상원1길 22 굿타워,로봇제어,"중소기업, 외국 법인기업, 주식회사, 병..업종전기·전자·제어",28,-
코드(주),1 ~ 10년 · 정규직,면접 후 결정,인천 서구 봉수대로1394번길 39-12,로봇제어,"중소기업, 외국인 투자기업, 주식회사, ..업종체조, 육상 및 체력단련용 장비 제조업",3,-
(주)옵토마인드,경력무관 · 정규직,면접 후 결정,"경기 수원시 영통구 덕영대로1556번길 16, 비동3층301호,에이동4층405호,에이동6층608호",로봇제어,"중소기업, 외국인 투자기업, 주식회사, ..업종전기용 기계ㆍ장비 및 관련 기자재 도매업",26,"15억 6,463만"
(주)옵토마인드,경력무관 · 정규직,면접 후 결정,"경기 수원시 영통구 덕영대로1556번길 16, 비동3층301호,에이동4층405호,에이동6층608호",로봇제어,"중소기업, 외국인 투자기업, 주식회사, ..업종전기용 기계ㆍ장비 및 관련 기자재 도매업",26,"15억 6,463만"
네이버랩스(주),신입 · 인턴직,면접 후 결정,"경기 성남시 분당구 정자일로 95, 18층",로봇제어,"대기업, 1000대기업, 외부감사법인, 연구..업종그 외 기타 정보 서비스업",226,-
한국로봇융합연구원,경력무관 · 정규직,면접 후 결정,경북 포항시 남구 지곡로 39,로봇제어,"기타, 연구소업종기타 공학 연구개발업",176,-
내비간티스코리아유한회사,경력 3년↑ · 정규직,면접 후 결정,서울 강서구 양천로 424 가양역 데시앙플렉스 지식산업센터,로봇제어,"중소기업, 외국인 투자기업, 사단법인, ..업종기계·설비·자동차",3,-
(주)부남테크,신입 · 정규직,"연봉 2,700 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",경기 안산시 상록구 담원안길 25,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",12,"16억 4,370만"
(주)엔바이어스,경력무관 · 정규직,면접 후 결정,"서울 성동구 상원12길 34, 914호",로봇제어,"중소기업, 주식회사, 병역특례 인증업체업종그 외 기타 특수목적용 기계 제조업",6,-
(주)메가젠임플란트,경력(년수무관) · 정규직,면접 후 결정,대구 달성군 다사읍 세천로7길 45,로봇제어,"중견기업, 외부감사법인, 주식회사, 수출..업종치과용 기기 제조업",700,"2,119억 7,765만"
넥스콘테크놀러지(주),신입 · 경력 · 정규직 외,면접 후 결정,충남 천안시 서북구 성거읍 석문길 95,로봇제어,중견기업업종전기용 기계ㆍ장비 및 관련 기자재 도매업,176,-
델타일렉트로닉스코리아,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 219, 1511호",로봇제어,"중소기업, 외국 법인기업, 주식회사업종전기용 기계ㆍ장비 및 관련 기자재 도매업",40,"259억 2,949만"
(주)프레쉬테크,경력무관 · 정규직 외,"연봉 4,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",제주 제주시 오광로6길 8,로봇제어,중소기업업종일반용 전기 조명장치 제조업,3,-
(주)에스티에스로보테크,경력무관 · 정규직,면접 후 결정,경기 화성시 삼성1로4길 7-4,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",150,"182억 5,956만"
(주)고스트로보틱스테크놀로지,3 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로 326, 4층",로봇제어,중소기업업종산업용 로봇 제조업,5,-
(주)고스트로보틱스테크놀로지,4 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로 326, 4층",로봇제어,중소기업업종산업용 로봇 제조업,5,-
(주)아이아이컴바인드,경력무관 · 정규직,면접 후 결정,서울 마포구 어울마당로5길 41,로봇제어,"중견기업, 주식회사, 외부감사법인, 수출..업종안경 및 안경렌즈 제조업",1072,-
(주)에스시스템,경력무관 · 정규직,면접 후 결정,"경기 광명시 소하로 190, G동 106호 (소하동,광명지타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,20,-
(주)에스시스템,경력무관 · 정규직,면접 후 결정,"경기 광명시 소하로 190, G동 106호 (소하동,광명지타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,20,-
(주)에스시스템,경력무관 · 정규직,면접 후 결정,"경기 광명시 소하로 190, G동 106호 (소하동,광명지타워)",로봇제어,중소기업업종배전반 및 전기 자동제어반 제조업,20,-
(주)창공에프에이,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄산단3길 20-13,로봇제어,"중소기업, 외부감사법인, 주식회사, 병역..업종산업용 로봇 제조업",37,-
(주)엑스와이지,경력 5년↑ · 정규직,면접 후 결정,-,로봇제어,"중소기업, 주식회사설립일*",-,-
(주)로엔서지컬,경력 2년↑ · 정규직,면접 후 결정,"대전 유성구 문지로 193, T동 122호",로봇제어,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",54,-
(주)알파로보틱스,신입 · 경력 · 정규직,회사내규에 따름,부산 기장군 장안읍 명례산단7로 30,로봇제어,"중소기업, 수출입 기업업종산업용 로봇 제조업",46,-
엘에스이(주),경력무관 · 정규직 외,면접 후 결정,"경기 용인시 기흥구 기흥로 58-1, 에이동 1601호 - 1609호",로봇제어,중소기업업종기타 반도체소자 제조업,201,-
(주)세이프틱스,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 봉은사로30길 43, 1층",로봇제어,"중소기업, 주식회사업종기타 기술 시험, 검사 및 분석업",18,-
(주)현전사,경력무관 · 정규직,면접 후 결정,부산 부산진구 전포대로255번길 33,로봇제어,"중소기업, 주식회사업종그 외 기타 기계 및 장비 도매업",65,-
(주)오병,신입 · 경력 · 정규직,면접 후 결정,경기 안산시 단원구 엠티브이1로 149,로봇제어,"중소기업, 주식회사업종그 외 기타 일반목적용 기계 제조업",16,"64억 3,076만"
(주)프레쉬테크,경력무관 · 정규직 외,"연봉 3,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",제주 제주시 오광로6길 8,로봇제어,중소기업업종일반용 전기 조명장치 제조업,3,-
