기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
인라이플,경력 3년↓ · 정규직,면접 후 결정,"서울 구로구 디지털로 272, 501호,502호,503호,504호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",233,-,625
에스에프에이,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄순환대로29길 25,딥러닝,"코스닥, 중견기업, 1000대기업, 외부감사..업종그 외 기타 특수목적용 기계 제조업",717,-,626
블루센,경력무관 · 정규직,면접 후 결정,대구 달성군 구지면 국가산단대로34길 30,딥러닝,"중소기업, 스타트업, 주식회사, 병역특례..업종물질 검사, 측정 및 분석기구 제조업",61,-,627
하이비젼시스템,신입 · 경력 · 정규직,면접 후 결정,경기 성남시 중원구 둔촌대로 527,딥러닝,"코스닥, 중견기업, 외부감사법인, 수출입..업종사진기, 영사기 및 관련 장비 제조업",381,-,628
하이비젼시스템,경력 5년↑ · 정규직,면접 후 결정,경기 성남시 중원구 둔촌대로 527,딥러닝,"코스닥, 중견기업, 외부감사법인, 수출입..업종사진기, 영사기 및 관련 장비 제조업",381,-,629
하이비젼시스템,5 ~ 7년 · 정규직,면접 후 결정,경기 성남시 중원구 둔촌대로 527,딥러닝,"코스닥, 중견기업, 외부감사법인, 수출입..업종사진기, 영사기 및 관련 장비 제조업",381,-,630
고스트로보틱스테크놀로지,3 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로 326, 4층",딥러닝,중소기업업종산업용 로봇 제조업,5,-,631
고스트로보틱스테크놀로지,4 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 봉은사로 326, 4층",딥러닝,중소기업업종산업용 로봇 제조업,5,-,632
코이웨어,경력무관 · 정규직,면접 후 결정,"서울 서초구 서초대로 356, 13층 1301호",딥러닝,중소기업업종컴퓨터시스템 통합 자문 및 구축 서비스업,40,"3억 4,449만",633
포트리스이노베이션,5 ~ 20년 · 정규직,면접 후 결정,"대전 유성구 테크노4로 17, D동 305호",딥러닝,"중견기업, 사단법인업종경영 컨설팅업",13,-,634
브이텐시스템,경력(년수무관) · 정규직,면접 후 결정,경기 오산시 외삼미로91번길 104,딥러닝,"중소기업, 연구소, 주식회사, 수출입 기업업종배전반 및 전기 자동제어반 제조업",60,"92억 1,326만",635
테서,신입 · 경력 · 정규직 외,면접 후 결정,"서울 강남구 언주로 544, 4층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종데이터베이스 및 온라인정보 제공업",15,7억,636
㈜웨슬리퀘스트,경력 2년↑ · 정규직 외,면접 후 결정,"서울 서대문구 충정로 53, 9층 901호 (충정로2가,유원골든타워오피스텔)",딥러닝,"중소기업, 주식회사업종경영 컨설팅업",40,"49억 6,264만",637
엘로이랩,경력무관 · 정규직 외,면접 후 결정,"울산 남구 옥현로 129, 4층 402호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",20,-,638
에너자이,2 ~ 3년 · 정규직 외,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",639
에너자이,경력무관 · 정규직 외,면접 후 결정,서울 종로구 경희궁길 15,딥러닝,"중소기업, 스타트업, 주식회사업종피자, 햄버거, 샌드위치 및 유사 음식점업",110,"142억 8,858만",640
에너자이,경력무관 · 정규직 외,면접 후 결정,서울 종로구 경희궁길 15,딥러닝,"중소기업, 스타트업, 주식회사업종피자, 햄버거, 샌드위치 및 유사 음식점업",110,"142억 8,858만",641
오누이,경력 3년↑ · 정규직,면접 후 결정,"서울 마포구 연희로 11, 4층 (동교동,한국특허정보원빌딩)",딥러닝,"중소기업, 스타트업, 주식회사업종기타 교육지원 서비스업",89,-,642
데이타솔루션,경력(년수무관) · 정규직,면접 후 결정,"서울 강남구 언주로 620, 10층 (논현동,현대인텔렉스)",딥러닝,"코스닥, 중견기업, 주식회사, 외부감사법..업종기타 산업용 기계 및 장비 도매업",234,"1,004억 8,118만",643
㈜엘컴텍,경력 1년↑ · 정규직,면접 후 결정,"대전 서구 신갈마로 262, 401호",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,7,"12억 9,885만",644
텐씨엘,경력 3년↑ · 정규직,면접 후 결정,"서울 강남구 테헤란로 425, 11층 (삼성동,신일빌딩)",딥러닝,"중소기업, 주식회사업종전기ㆍ전자공학 연구개발업",19,-,645
남부솔루션,경력무관 · 정규직,면접 후 결정,전남 나주시 왕곡면 혁신산단로 160,딥러닝,"중소기업, 주식회사업종일반전기 공사업",53,70억 49만,646
서울아산병원,경력무관 · 계약직,"연봉 6,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",서울 송파구 올림픽로43길 88 서울아산병원,딥러닝,연구소업종의료(병원종류별),8958,-,647
에스피파트너스,신입 · 경력 · 정규직,면접 후 결정,"경북 경산시 펜타힐즈2로 59, 802호",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",22,"34억 5,777만",648
서울아산병원,경력무관 · 위촉직,"연봉 3,600 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있",서울 송파구 올림픽로43길 88 서울아산병원,딥러닝,연구소업종의료(병원종류별),8958,-,649
알지오 평생교육원,경력(년수무관) · 프리랜서,면접 후 결정,"경기 의정부시 시민로122번길 41-46, 201호",딥러닝,중소기업업종기타 교육지원 서비스업,100,20억,650
알지오 평생교육원,경력(년수무관) · 프리랜서,면접 후 결정,"경기 의정부시 시민로122번길 41-46, 201호",딥러닝,중소기업업종기타 교육지원 서비스업,100,20억,651
대한상공회의소서울기술교육센터,신입 · 경력 · 계약직,면접 후 결정,서울 강서구 화곡로 179 대한상공회의소서울기술교육센터,딥러닝,학교/교육기관업종교육업홈페이지,-,-,652
미니레코드,3 ~ 5년 · 계약직 외,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",653
디코엔,신입 · 정규직,면접 후 결정,"경기 화성시 동탄대로 706, 1동 제8층 제817호 (영천동,동탄아이티밸리2차)",딥러닝,중소기업업종비디오 및 기타 영상기기 제조업,3,-,654
코너스톤42,경력 1년↑ · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 9층 917호",딥러닝,"중소기업, 사단법인, 연구소, 주식회사업종시스템 소프트웨어 개발 및 공급업",16,"13억 5,000만",655
이노뎁,1 ~ 5년 · 정규직,면접 후 결정,"서울 금천구 디지털로9길 47, 9층, 11층",딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",201,-,656
에스씨티,경력무관 · 정규직,면접 후 결정,"부산 해운대구 센텀북대로 60, 1809호 (재송동,센텀아이에스타워)",딥러닝,"중소기업, 주식회사업종컴퓨터 프로그래밍 서비스업",13,-,657
컨텍,경력무관 · 정규직,면접 후 결정,대전 유성구 지족로148번길 5-34,딥러닝,"코스닥, 중소기업, 주식회사업종컴퓨터 프로그래밍 서비스업",110,"127억 5,000만",658
아이앤티,경력무관 · 정규직,면접 후 결정,"경기 화성시 동탄순환대로 823, 5층 514,515호 (영천동,에이팩시티)",딥러닝,"중소기업, 연구소업종기타 전기 변환장치 제조업",12,"13억 4,280만",659
아이앤티로보틱스,경력무관 · 정규직,면접 후 결정,"경기 화성시 동탄순환대로 823, 1층 102호",딥러닝,중소기업업종그 외 기타 전기장비 제조업설립일,-,-,660
서울아산병원,경력(년수무관) · 프리랜서,면접 후 결정,서울 송파구 올림픽로43길 88 서울아산병원,딥러닝,연구소업종의료(병원종류별),8958,-,661
에이치비테크놀러지,신입 · 경력 · 정규직,면접 후 결정,충남 아산시 음봉면 산동로 87,딥러닝,코스닥업종반도체 제조용 기계 제조업,405,"2,852억 2,384만",662
인셈,신입 · 경력 · 정규직,면접 후 결정,"서울 송파구 중대로 312, 401호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",22,-,663
에스에이치텍,경력(년수무관) · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 228-36,딥러닝,"중소기업, 스타트업, 주식회사, 수출입 ..업종전자기 측정, 시험 및 분석기구 제조업",37,"143억 6,568만",664
㈜애니파이브,경력무관 · 정규직,면접 후 결정,"서울 구로구 디지털로 288, 1603호 (구로동,대륭포스트타워1차)",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,84,"150억 9,589만",665
포테이토넷,신입 · 경력 · 정규직,면접 후 결정,-,딥러닝,중소기업업종전기경보 및 신호장치 제조업,9,-,666
아이티존,신입 · 경력 · 정규직,면접 후 결정,"대전 대덕구 대화로 120, 729호,730호 (대화동,가온비즈타워)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-,667
아이티존,신입 · 경력 · 정규직,면접 후 결정,"대전 대덕구 대화로 120, 729호,730호 (대화동,가온비즈타워)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-,668
델타엑스,신입 · 경력 · 정규직 외,면접 후 결정,"서울 중구 남대문로9길 24, 301호 (다동,패스트파이브타워)",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종응용 소프트웨어 개발 및 공급업",49,-,669
델타엑스,경력(년수무관) · 정규직,면접 후 결정,"서울 중구 남대문로9길 24, 301호 (다동,패스트파이브타워)",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종응용 소프트웨어 개발 및 공급업",49,-,670
아르스루퍼,경력(년수무관) · 정규직,"연봉 4,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 성동구 아차산로17길 49, 1415호",딥러닝,"중소기업, 주식회사업종전기ㆍ전자공학 연구개발업",9,-,671
충북대학교병원(의),경력무관 · 계약직,면접 후 결정,충북 청주시 서원구 1순환로 776,딥러닝,"기타, 공사/공기업업종종합 병원",310,-,672
파이벡스,경력 3년↑ · 정규직,면접 후 결정,"경북 포항시 남구 지곡로 394, 4벤처동 3층 304호",딥러닝,"중소기업, 주식회사업종전자 응용 절삭기계 제조업",43,"128억 2,000만",673
인스케이프,경력 10년↑ · 정규직,면접 후 결정,경기 성남시 중원구 갈마치로 214-1,딥러닝,"중소기업, 외부감사법인, 주식회사, 병역..매출액",-,-,674
인스케이프,경력무관 · 정규직,면접 후 결정,경기 성남시 중원구 갈마치로 214-1,딥러닝,"중소기업, 외부감사법인, 주식회사, 병역..매출액",-,-,675
덴컴,3 ~ 12년 · 정규직,면접 후 결정,"서울 강남구 삼성로85길 26, 14층 (대치동,브이앤에스)",딥러닝,"중소기업, 주식회사업종컴퓨터시설 관리업",33,-,676
에버정보기술,경력 3년↑ · 정규직,"연봉 5,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","대전 유성구 테크노3로 65, 630호",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종유선 통신장비 제조업",10,"15억 3,231만",677
다비오,3 ~ 7년 · 정규직,면접 후 결정,"서울 마포구 마포대로 144, 8층 (공덕동,마포티타운)",딥러닝,"중소기업, 스타트업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-,678
다비오,3 ~ 7년 · 정규직,면접 후 결정,"서울 마포구 마포대로 144, 8층 (공덕동,마포티타운)",딥러닝,"중소기업, 스타트업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-,679
로보티즈,경력무관 · 정규직 외,면접 후 결정,서울 강서구 마곡중앙5로1길 37,딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종그 외 기타 특수목적용 기계 제조업",148,-,680
에이아이프로,경력 2년↑ · 정규직 외,면접 후 결정,"서울 종로구 성균관로 25-2, 70504호, 70505호 (명륜3가,성균관대학교 중앙학술정보관)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",4,-,681
지비소프트,5 ~ 10년 · 정규직,면접 후 결정,"대구 수성구 달구벌대로 2392, 7층 (범어동,호명빌딩)",딥러닝,"중소기업, 주식회사업종시스템 소프트웨어 개발 및 공급업",40,-,682
영신,경력무관 · 정규직,면접 후 결정,경기 용인시 기흥구 용구대로2211번길 6,딥러닝,"중소기업, 주식회사업종주거용 건물 건설업",12,"37억 4,564만",683
브로즈,신입 · 경력 · 정규직,면접 후 결정,"대구 동구 동대구로 465, 5층 503호",딥러닝,"중소기업, 주식회사업종컴퓨터 프로그래밍 서비스업",9,"7,000만",684
슈어소프트테크,경력 3년↑ · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 37, E동 (금토동,인피니티타워)",딥러닝,"코스닥, 중소기업, 스타트업, 주식회사, ..업종응용 소프트웨어 개발 및 공급업",399,-,685
컴파이드,경력무관 · 정규직,면접 후 결정,"경기 수원시 장안구 서부로 2066, 성균관대학교 제2공학관 25201-이",딥러닝,"중소기업, 사단법인, 주식회사업종응용 소프트웨어 개발 및 공급업",3,-,686
마스코리아,경력무관 · 정규직,면접 후 결정,"세종 집현중앙7로 3, 602호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",16,"12억 2,975만",687
㈜한국금융IT,경력무관 · 병역특례,면접 후 결정,"서울 영등포구 여의대방로69길 23, 4층 (여의도동,한국금융아이티빌딩)",딥러닝,"외부감사법인, 수출입 기업업종응용 소프트웨어 개발 및 공급업",54,"70억 7,850만",688
휴비스,경력무관 · 정규직,면접 후 결정,대전 유성구 테크노1로 57,딥러닝,"중소기업, 스타트업, 주식회사, 병역특례..업종배전반 및 전기 자동제어반 제조업",112,313억,689
엠디에스테크,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 대왕판교로644번길 49, 9층 (삼평동,디티씨타워)",딥러닝,"코스닥, 중견기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",166,-,690
엠디에스테크,5 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 분당구 대왕판교로644번길 49, 9층 (삼평동,디티씨타워)",딥러닝,"코스닥, 중견기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",166,-,691
한싹,경력 2년↑ · 정규직,면접 후 결정,"서울 구로구 디지털로34길 27, 401호,402호,1002호 (구로동,대륭포스트타워3차)",딥러닝,"코스닥, 중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",104,-,692
에이엠스퀘어,신입 · 경력 · 계약직,회사내규에 따름,"경북 포항시 남구 청암로 87, 635호",딥러닝,"중소기업, 주식회사업종컴퓨터시스템 통합 자문 및 구축 서비스업",11,-,693
와이시스(YSYS),경력 1년↓ · 정규직,면접 후 결정,경기 평택시 고덕중앙로 290,딥러닝,-,-,-,694
와이시스(YSYS),신입 · 정규직,회사내규에 따름,경기 평택시 고덕중앙로 290,딥러닝,-,-,-,695
라온피플,경력무관 · 정규직 외,면접 후 결정,"경기 성남시 분당구 판교로 723, 제비동402-1,402-3,403,404,405,408 (야탑동,분당테크노파크)",딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",115,-,696
하이퍼커넥트 유한책임회사,신입 · 정규직,면접 후 결정,"서울 강남구 영동대로 517, 20층, 12층 (삼성동,아셈타워)",딥러닝,"중소기업, 1000대기업, 외국 법인기업, ..업종응용 소프트웨어 개발 및 공급업",384,-,697
아이티테크,경력(년수무관) · 정규직,면접 후 결정,"경기 안양시 동안구 시민대로327번길 11-41, 219호",딥러닝,중소기업업종시스템 소프트웨어 개발 및 공급업,4,-,698
알에스엔,신입 · 경력 · 정규직,면접 후 결정,"경기 고양시 일산서구 킨텍스로 240, 오피스동 24층 (대화동,킨텍스 꿈에그린)",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,191,-,699
데브,경력무관 · 정규직,면접 후 결정,경기 안산시 단원구 동산로27번길 112,딥러닝,중소기업업종그 외 기타 플라스틱 제품 제조업,8,-,700
어센트코리아,5 ~ 10년 · 정규직,면접 후 결정,"서울 강남구 도산대로16길 15, 301호 (논현동,용헌회관)",딥러닝,"중소기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",75,75억,701
엠디에스테크,경력 3년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 대왕판교로644번길 49, 9층 (삼평동,디티씨타워)",딥러닝,"코스닥, 중견기업, 주식회사, 수출입 기업업종응용 소프트웨어 개발 및 공급업",166,-,702
포소드,경력무관 · 정규직,면접 후 결정,"서울 영등포구 영신로 220, 707동 7층 712호",딥러닝,"중소기업, 외부감사법인, 주식회사, 병역..업종방송장비 제조업",56,-,703
러닝비전,경력무관 · 정규직,면접 후 결정,"대구 달서구 성서공단로11길 62, 731호 (호산동,대구융합알앤디센터)",딥러닝,"중소기업, 주식회사업종물질 검사, 측정 및 분석기구 제조업",10,27억,704
코너스톤42,4 ~ 10년 · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 9층 917호",딥러닝,"중소기업, 사단법인, 연구소, 주식회사업종시스템 소프트웨어 개발 및 공급업",16,"13억 5,000만",705
엘로이랩,경력무관 · 정규직,면접 후 결정,"울산 남구 옥현로 129, 4층 402호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",20,-,706
엘로이랩,경력무관 · 정규직,면접 후 결정,"울산 남구 옥현로 129, 4층 402호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",20,-,707
엘로이랩,경력무관 · 정규직,면접 후 결정,"울산 남구 옥현로 129, 4층 402호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",20,-,708
슈퍼솔루션,경력 2년↑ · 정규직 외,면접 후 결정,서울 종로구 경희궁길 15,딥러닝,"중소기업, 스타트업, 주식회사업종피자, 햄버거, 샌드위치 및 유사 음식점업",110,"142억 8,858만",709
서울대학교병원,신입 · 경력 · 계약직 외,면접 후 결정,서울 종로구 대학로 101,딥러닝,"기타, 공사/공기업업종종합 병원",749,-,710
투아이시스,신입 · 경력 · 정규직,면접 후 결정,경기 안양시 만안구 덕천로 16,딥러닝,"중소기업, 주식회사, 병역특례 인증업체,..업종기타 측정, 시험, 항해, 제어 및 정밀기..",48,-,711
미래로시스템,신입 · 경력 · 정규직,면접 후 결정,"경기 용인시 기흥구 흥덕중앙로 120, 203호,204호,2905호",딥러닝,"중소기업, 외부감사법인, 연구소, 주식회..업종응용 소프트웨어 개발 및 공급업",141,-,712
글로벌시스템스,신입 · 경력 · 정규직,면접 후 결정,"대전 유성구 유성대로1205번길 10, 1층 일부",딥러닝,중소기업업종방송장비 제조업,18,75억,713
포시즌스,경력무관 · 정규직,면접 후 결정,"경기 용인시 기흥구 흥덕2로87번길 18, 478호 (영덕동,엠피스비즈니스광교센터)",딥러닝,중소기업업종광고 대행업,3,-,714
블루타일랩,신입 · 경력 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 4층 402호 (가정동,한국전자통신연구원융합기술연구생산센터)",딥러닝,"중소기업, 스타트업, 주식회사업종시스템 소프트웨어 개발 및 공급업",15,"26억 3,566만",715
피트릭스,3 ~ 8년 · 정규직,면접 후 결정,"서울 강남구 강남대로 626, 7층 (신사동,엠아이타워)",딥러닝,"중소기업, 주식회사, 수출입 기업설립일*",-,-,716
코너스톤42,경력 1년↑ · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 9층 917호",딥러닝,"중소기업, 사단법인, 연구소, 주식회사업종시스템 소프트웨어 개발 및 공급업",16,"13억 5,000만",717
이프,경력무관 · 정규직,면접 후 결정,"경기 화성시 동탄대로 635 SH TIME SQUARE Ⅰ / SH스퀘어1 511호,512호 (영천동)",딥러닝,중소기업업종솔루션·SI·ERP·CRM설립일*,-,21억,718
주식회사 몹티콘,경력무관 · 정규직,면접 후 결정,"서울 구로구 디지털로 272, 716호",딥러닝,"중소기업, 주식회사업종교통 신호장치 제조업",15,18억,719
주식회사 몹티콘,경력무관 · 정규직,면접 후 결정,"서울 구로구 디지털로 272, 716호",딥러닝,"중소기업, 주식회사업종교통 신호장치 제조업",15,18억,720
일레븐전자,신입 · 경력 · 정규직 외,면접 후 결정,"경기 수원시 영통구 신원로 304, 3동 401호, 402호, 114호 (원천동,영통이노플렉스)",딥러닝,"중소기업, 외부감사법인, 주식회사업종플라스틱 접착처리 제품 제조업",42,"176억 2,850만",721
라온피플,경력 5년↑ · 정규직,면접 후 결정,"경기 성남시 분당구 판교로 723, 제비동402-1,402-3,403,404,405,408 (야탑동,분당테크노파크)",딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",115,-,722
디노,2 ~ 10년 · 정규직 외,면접 후 결정,"경기 용인시 기흥구 구성로 357, D동 810호",딥러닝,"중소기업, 외부감사법인, 주식회사업종응용 소프트웨어 개발 및 공급업",35,37억,723
옵트에이아이,신입 · 경력 · 정규직,면접 후 결정,"충북 청주시 청원구 오창읍 양청4길 45, 에이동 502호실 (주성리,충북대학교)",딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,9,-,724
코너스톤코리아,경력무관 · 정규직,회사내규에 따름,"서울 강남구 언주로 732, 8층",딥러닝,"중소기업, 외국 법인기업, 주식회사업종경영 컨설팅업",47,-,725
인터마인즈,경력(년수무관) · 정규직,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",726
하이퍼커넥트 유한책임회사,신입 · 정규직,면접 후 결정,"서울 강남구 영동대로 517, 20층, 12층 (삼성동,아셈타워)",딥러닝,"중소기업, 1000대기업, 외국 법인기업, ..업종응용 소프트웨어 개발 및 공급업",384,-,727
메디치소프트,경력 1년↑ · 정규직 외,면접 후 결정,"경기 성남시 수정구 금토로80번길 11, 1409호, 1410호, 1411호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",23,"23억 2,655만",728
인라이플,경력(년수무관) · 정규직,면접 후 결정,"서울 구로구 디지털로 272, 501호,502호,503호,504호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",233,-,729
아이넷캅,신입 · 경력 · 정규직 외,면접 후 결정,"서울 송파구 송파대로 201, A동 1311호 (문정동,송파테라타워2)",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종시스템 소프트웨어 개발 및 공급업",25,"3억 6,364만",730
코가로보틱스,경력무관 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",딥러닝,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-,731
코드랩이앤티,경력 2년↑ · 계약직,면접 후 결정,서울 금천구 가산디지털2로 144,딥러닝,-,5,-,732
모빅랩,2 ~ 5년 · 정규직 외,면접 후 결정,"인천 연수구 컨벤시아대로 204, 인천 스타트업파크 인스타1 301호",딥러닝,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",16,-,733
애드인에듀,경력무관 · 정규직 외,면접 후 결정,"서울 금천구 가산디지털2로 108, 213호 212호, 213호",딥러닝,중소기업업종시스템 소프트웨어 개발 및 공급업,5,-,734
이노룰스,경력 · 정규직,면접 후 결정,"서울 송파구 법원로6길 7, 12층 (문정동,유탑테크밸리)",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",101,-,735
트리플에이치,신입 · 경력 · 정규직,면접 후 결정,"서울 강남구 테헤란로81길 13, 10층",딥러닝,주식회사업종주거용 건물 개발 및 공급업,20,"1,600억",736
리플에이아이,경력 2년↑ · 정규직,면접 후 결정,"서울 강남구 학동로33길 15, 3층 3002호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",16,-,737
씨이랩,경력무관 · 정규직,면접 후 결정,"서울 강남구 언주로 617, 3,4층",딥러닝,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",79,-,738
현대아이씨티 주식회사,경력 3년↑ · 정규직,면접 후 결정,"부산 해운대구 센텀중앙로 48, 610호 (우동,에이스하이테크21)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",25,20억,739
알티솔루션,경력무관 · 병역특례,면접 후 결정,"서울 금천구 가산디지털1로 225, 705호",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종비디오 및 기타 영상기기 제조업",29,-,740
알티솔루션,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털1로 225, 705호",딥러닝,"중소기업, 연구소, 주식회사, 병역특례 ..업종비디오 및 기타 영상기기 제조업",29,-,741
아스크스토리디에스,신입 · 정규직,면접 후 결정,"서울 서초구 매헌로8길 47, C동 3층 301호",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",12,-,742
리콘랩스,경력무관 · 정규직,면접 후 결정,서울 강남구 학동로53길 30,딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,43,-,743
아이피아,경력(년수무관) · 정규직,면접 후 결정,"경기 성남시 분당구 서현로210번길 1, 405-가38호 (서현동,보람코아)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",21,-,744
이노뎁,경력무관 · 정규직,면접 후 결정,"서울 금천구 디지털로9길 47, 9층, 11층",딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",201,-,745
이노뎁,경력무관 · 정규직,면접 후 결정,"서울 금천구 디지털로9길 47, 9층, 11층",딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",201,-,746
테서,신입 · 경력 · 정규직 외,면접 후 결정,"서울 강남구 언주로 544, 4층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종데이터베이스 및 온라인정보 제공업",15,7억,747
라온피플,경력 3년↑ · 정규직,회사내규에 따름,"경기 성남시 분당구 판교로 723, 제비동402-1,402-3,403,404,405,408 (야탑동,분당테크노파크)",딥러닝,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",115,-,748
스위트케이,신입 · 경력 · 정규직 외,면접 후 결정,"경기 과천시 과천대로7길 65, 비-1514호, 비-1515호 (갈현동,과천상상자이타워)",딥러닝,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",44,-,749
와이폴라리스,신입 · 경력 · 정규직,면접 후 결정,부산 남구 전포대로 133,딥러닝,중소기업업종응용 소프트웨어 개발 및 공급업,5,-,750
렉스코드,경력무관 · 정규직,"연봉 4,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 서초구 서초중앙로 41, 6층 지하1층 (서초동,대성빌딩)",딥러닝,"중소기업, 스타트업, 외국인 투자기업, ..업종번역 및 통역 서비스업",30,"47억 5,613만",751
에이아이딥,경력무관 · 정규직,면접 후 결정,"경기 과천시 과천대로7나길 25, 11층",딥러닝,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",22,-,752
케이저,경력무관 · 정규직,"월급 210 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 2,060,740원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다","인천 남동구 호구포로 194, 1006호",딥러닝,"중소기업, 수출입 기업홈페이지",-,-,753
