기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액,인덱스
제이알씨모빌리티독일 유한책임회사(영업소),신입 · 경력 · 정규직 외,면접 후 결정,"서울 강서구 공항대로 209, GMG L-Star 1103호",자율주행,"기타, 외국 법인기업, 유한회사업종기계·설비·자동차설립일",-,-,58
현대엔지비,신입 · 경력 · 정규직,면접 후 결정,서울 관악구 관악로 1,자율주행,"대기업, 외부감사법인업종기타 공학 연구개발업",135,-,59
유디엔에스,경력무관 · 정규직,면접 후 결정,"경기 용인시 기흥구 기흥로 58-1, 제에이동 제15층 제1513호,제1514호",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",24,-,60
하이엔드,경력무관 · 정규직,면접 후 결정,"충남 금산군 추부면 대학로 70, 2층",자율주행,"중소기업, 수출입 기업업종레이더, 항행용 무선기기 및 측량기구 제..",8,-,61
하이엔드,경력무관 · 정규직,면접 후 결정,"충남 금산군 추부면 대학로 70, 2층",자율주행,"중소기업, 수출입 기업업종레이더, 항행용 무선기기 및 측량기구 제..",8,-,62
마젠타로보틱스,경력무관 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",자율주행,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만,63
티유브이슈드코리아,경력 10년↑ · 정규직,면접 후 결정,"서울 영등포구 국제금융로 10, 29층",자율주행,"중소기업, 외국인 투자기업, 외부감사법인업종기타 기술 시험, 검사 및 분석업",165,214억 824만,64
티유브이슈드코리아,경력무관 · 정규직,면접 후 결정,"서울 영등포구 국제금융로 10, 29층",자율주행,"중소기업, 외국인 투자기업, 외부감사법인업종기타 기술 시험, 검사 및 분석업",165,214억 824만,65
세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,자율주행,중소기업업종그 외 자동차용 신품 부품 제조업,52,-,66
퓨런티어,경력무관 · 정규직,면접 후 결정,경기 성남시 중원구 사기막골로 58,자율주행,"코스닥, 중소기업, 외부감사법인, 주식회..업종기타 측정, 시험, 항해, 제어 및 정밀기..",96,-,67
이인텔리전스,3 ~ 15년 · 정규직,면접 후 결정,대구 달성군 유가읍 테크노순환로10길 1,자율주행,중견기업업종응용 소프트웨어 개발 및 공급업,40,"70억 3,624만",68
제이이노텍,경력무관 · 정규직,면접 후 결정,"충남 천안시 서북구 백석공단1로 10, B동 804호",자율주행,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",31,-,69
아세아텍,경력무관 · 정규직,면접 후 결정,대구 달성군 유가읍 비슬로96길 11,자율주행,"코스닥, 외부감사법인, 주식회사, 수출입..업종농업 및 임업용 기계 제조업",267,-,70
코드,1 ~ 10년 · 정규직,면접 후 결정,인천 서구 봉수대로1394번길 39-12,자율주행,"중소기업, 외국인 투자기업, 주식회사, ..업종체조, 육상 및 체력단련용 장비 제조업",3,-,71
한국로봇융합연구원,경력무관 · 정규직,면접 후 결정,경북 포항시 남구 지곡로 39,자율주행,"기타, 연구소업종기타 공학 연구개발업",176,-,72
카비,경력 10년↑ · 정규직,면접 후 결정,"서울 금천구 벚꽃로 244, 301호",자율주행,"중소기업, 스타트업, 주식회사, 병역특례..업종응용 소프트웨어 개발 및 공급업",23,-,73
네패스,5 ~ 7년 · 정규직,면접 후 결정,충북 음성군 삼성면 금일로965번길 105,자율주행,"코스닥, 중견기업, 1000대기업, 외국인 ..업종다이오드, 트랜지스터 및 유사 반도체소..",1059,-,74
포레시아코리아,1 ~ 7년 · 정규직,면접 후 결정,경기 용인시 수지구 포은대로59번길 10,자율주행,"외국인 투자기업, 외부감사법인업종그 외 자동차용 신품 부품 제조업",148,-,75
피에이치에이,신입 · 경력 · 정규직,면접 후 결정,대구 달서구 성서4차첨단로 392,자율주행,"코스닥, 중견기업, 외국인 투자기업, 외..업종자동차 차체용 신품 부품 제조업",626,-,76
세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,자율주행,중소기업업종그 외 자동차용 신품 부품 제조업,52,-,77
티스퀘어랩,경력무관 · 정규직,"연봉 3,600 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","서울 중구 칠패로 46, 202호",자율주행,"중소기업, 주식회사업종기타 기술 시험, 검사 및 분석업",50,-,78
현대자동차,경력,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,79
현대자동차,경력 3년↑,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,80
현대자동차,경력,면접 후 결정,서울 서초구 헌릉로 12,자율주행,"코스피, 대기업, 1000대기업, 외부감사법..업종승용차 및 기타 여객용 자동차 제조업",68427,-,81
자동차공학연구소,신입 · 경력 · 정규직,회사내규에 따름,"서울 서초구 양재천로17길 19, 2층, 3층 (양재동,태암빌딩)",자율주행,중소기업업종기타 공학 연구개발업,15,-,82
이인텔리전스,3 ~ 15년 · 정규직,면접 후 결정,대구 달성군 유가읍 테크노순환로10길 1,자율주행,중견기업업종응용 소프트웨어 개발 및 공급업,40,"70억 3,624만",83
티라로보틱스,경력무관 · 정규직,면접 후 결정,"경기 성남시 중원구 둔촌대로 388, 304호 (상대원동,크란츠테크노)",자율주행,"중소기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",45,-,84
셀플러스코리아,신입 · 정규직,면접 후 결정,"경기 안양시 동안구 학의로 282, 18층 1814호 (관양동,금강펜테리움아이티타워)",자율주행,"중소기업, 주식회사업종기타 정보기술 및 컴퓨터운영 관련 서비..",18,"16억 1,675만",85
한국보그워너티에스,신입 · 경력 · 정규직,면접 후 결정,"서울 성동구 왕십리로 222, 516호",자율주행,"중소기업, 주식회사, 연구소업종응용 소프트웨어 개발 및 공급업",49,-,86
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,자율주행,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",87
화인코왁,경력무관 · 정규직,면접 후 결정,경기 화성시 마도면 청원산단2길 58,자율주행,"중소기업, 스타트업, 수출입 기업업종그 외 기타 특수목적용 기계 제조업",22,"77억 7,661만",88
가율 국제특허법률사무소,경력무관 · 정규직 외,면접 후 결정,"부산 연제구 중앙대로 1243, 601호",자율주행,중소기업업종변리사업설립일*,-,-,89
시그봇,경력무관 · 정규직,면접 후 결정,"경기 광명시 일직로 43, C동 1815호",자율주행,"중소기업업종물질 검사, 측정 및 분석기구 제조업",11,-,90
니나노,신입 · 정규직,"연봉 2,500 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있","경남 밀양시 부북면 무안로 761, 411호",자율주행,"중소기업, 연구소, 주식회사업종플라스틱 적층, 도포 및 기타 표면처리 ..",6,-,91
에이모,경력무관 · 정규직,면접 후 결정,"경기 성남시 분당구 판교로228번길 17, 이랜텍동9층 (삼평동,판교세븐벤처밸리2)",자율주행,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업설립일",-,-,92
엘림써치,경력 3년↑ · 정규직,면접 후 결정,경기 성남시 분당구 미금일로 58,자율주행,중소기업업종시설관리·경비·용역설립일,-,-,93
사람인에이치에스,2 ~ 6년 · 정규직,면접 후 결정,"서울 구로구 디지털로34길 43, 6층 601호",자율주행,"중견기업, 외부감사법인, 주식회사업종임시 및 일용 인력 공급업",1300,270억,94
바른인사컨설팅,경력무관 · 파견직,면접 후 결정,"서울 구로구 디지털로33길 11, 209호",자율주행,"중소기업, 주식회사업종상용 인력 공급 및 인사관리 서비스업",700,300억,95
비에이블컨설팅그룹,신입 · 경력 · 정규직,면접 후 결정,"서울 금천구 가산디지털2로 165, 1501호",자율주행,"중소기업, 주식회사업종경영 컨설팅업설립일",-,-,96
탑커리어인사이트,3 ~ 7년 · 정규직,면접 후 결정,서울 강남구 역삼로17길 9 배영빌딩 202호,자율주행,-,-,-,97
굿커리어,신입 · 경력 · 정규직,면접 후 결정,서울 강남구 봉은사로 121,자율주행,중소기업업종경영 컨설팅업홈페이지,-,-,98
