,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
38,엔셀주식회사벤처 강소워크넷인증,신입,"연봉 3,400 만원 ~ 3,600 만원",경기도 성남시 분당구 성남대로 393,딥러닝,  주요업무 - 인공지능 알고리즘 개발 및 연구 - 인공지능 서비스 솔루션 개발 - Vision/Time Series 데이터 처리 및 분석 자격요건 ...,[AI 엔지니어 모집] 2차전지 초음파검사 AI개발
39,㈜스피랩잡코리아,경력,"연봉 4,500 만원 ~ 4,500 만원",경기 용인시 기흥구 동백죽전대로 44,딥러닝,"  시스템엔지니어,하드웨어개발자,머신러닝엔지니어,기계엔지니어,클라우드엔지니어",[K-Digital Training] (빅데이터/AI/파이썬/자바) 강사 채용
40,(주)프로써치코리아인크루트,경력3년,회사내규에 따름,서울특별시 강남구 테헤란로 333,딥러닝,  -선량계산 수식기반 Analytic 알고리즘 개발-CT를 이용한 의료영상 전문 영역의 데이터 활용 딥러닝 연구,-
41,골프존지디알아카데미 주식회사잡코리아,경력3년,회사내규에 따름,서울 강남구 도산대로 544,딥러닝,  머신러닝엔지니어,엔셀주식회사 AI(인공지능)개발자 모집
42,(주)델토이드인크루트,신입,"연봉 3,000 만원 ~ 3,500 만원",서울특별시 구로구 신도림로13길 51,딥러닝,  JAVA ㆍ메타버스 웹 또는 보행검사용 웹/앱 프런트 개발ㆍIMU 센서를 활용한 보행검사용 앱 데이터 딥러닝 연구(파이썬) ㆍJAVAㆍN...,경력 임베디드 AI 시스템 개발 채용
43,투아이시스㈜벤처 강소잡코리아,신입/경력,회사내규에 따름,경기 안양시 만안구 덕천로 16,딥러닝,"  백엔드개발자,프론트엔드개발자,머신러닝엔지니어",-
44,주식회사나래트랜드강소워크넷인증,경력1년,"연봉 3,500 만원 ~ 4,000 만원",경기도 부천시 부흥로303번길 36,딥러닝,"  ★S/W 개발자(데이터엔지니어) 1.지원자격 ㆍ경력  경력 1년이상(주임연구원, 선임연구원, 연구원급) ㆍGIT 사용 경험자 ㆍjavascr...",-
45,아이메디신캐치,경력무관,회사내규에 따름,서울특별시 강남구 테헤란로 411,딥러닝,"  빅데이터/AI, DBA/데이터베이스","웹, 앱 프런트/파이썬 서버 개발자 모집"
46,하드콘 주식회사워크넷인증,경력무관,"연봉 2,800 만원 ~ 4,000 만원",서울특별시 금천구 가산디지털1로 131,딥러닝,"  하드콘(주) 은 공장 자동화 제어 시스템, AI/딥러닝 머신비전 솔루션 을 개발하여 다양한 산업 현장에 공급하고 있습니다. 회사 구성...",-
47,(주)대웅기연인크루트,경력1년,회사내규에 따름,경기 부천시 산업로 9,딥러닝,  분석·설계 ERP 구축관련,2024년 상반기 정규직 직원 모집(S/W 개발자(데이터엔지니어))
48,라온피플벤처 강소캐치,경력무관,회사내규에 따름,경기도 성남시 분당구 판교로 723,딥러닝,  빅데이터/AI,기업부설연구소 딥러닝/머신러닝 책임연구원 채용
49,(주)디세이코리아,경력무관,"연봉 2,700 만원 ~ 5,000 만원",경기도 용인시 수지구 광교중앙로 338,딥러닝,  [채용 희망인원] 1. MES개발 또는 ESS개발 또는 TC 개발자 2. 머신러닝 개발자 3. C# 개발자 4. JAVA 개발자 5. DevExpre...,장비제어 / 자동제어 / 머신비전 / 딥러닝비전 / 영상처리 / C# 개발자 모집
