기업이름,기업규모,매출액,평균연봉,자본총계1,자본총계2,자본총계3,매출액1,매출액2,매출액3,순이익1,순이익2,순이익3,기준년도,키워드
굿커리어,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(사)한국산업기술협회,무입력,0,3809,0,0,0,0,0,0,0,0,0,0,로봇제어
수원시원한의원,중소기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
주식회사 시메이션,중소기업,217194,4115,177614,204081,191519,217194,201382,127704,-22417,19348,14778,2022,로봇제어
한국야스카와전기(주),중견기업,25024523,6493,14630792,14445207,13172360,25024523,25474296,21805606,1142096,1719002,784950,2023,로봇제어
신태진건설(주),중소기업,781971,0,807064,793358,783441,781971,233850,286228,13706,9917,-60994,2022,로봇제어
(주) 실리콘스튜디오코리아,중소기업,491500,4552,111974,110541,104593,113107,126323,273118,1611,5947,19971,2016,로봇제어
나노융합산업연구조합,중소기업,0,6165,0,0,0,0,0,0,0,0,0,0,로봇제어
한국폴리텍대학 성남캠퍼스,대기업,0,0,0,0,0,0,0,0,0,0,0,0,로봇제어
(주)대일전자,중소기업,2322110,5433,1714613,1720197,1651098,2322110,2048778,1572747,94416,169098,38835,2022,로봇제어
