기업이름,분야,평점,연봉,2차산업군
(주)대흥알앤티 ,제조/화학,3.0,4302,석유/화학/에너지
(주)에스티지24 ,제조/화학,2.2,3423,석유/화학/에너지
두리화장품(주) ,제조/화학,3.4,3137,석유/화학/에너지
버슘머트리얼즈코리아(주) ,제조/화학,3.6,5089,석유/화학/에너지
서울검사(주) ,제조/화학,2.3,3021,석유/화학/에너지
이노진(주) ,제조/화학,2.0,3123,석유/화학/에너지
에이치디현대글로벌서비스(주) ,제조/화학,2.8,5206,석유/화학/에너지
내셔날오일웰바르코코리아(유) ,제조/화학,2.9,4666,석유/화학/에너지
린데코리아(주) ,제조/화학,3.8,5034,석유/화학/에너지
미원스페셜티케미칼(주) ,제조/화학,3.0,4498,석유/화학/에너지
한국해양교통안전공단 ,제조/화학,2.9,4224,석유/화학/에너지
삼천리(주) ,제조/화학,3.6,5505,석유/화학/에너지
금호타이어용인중앙연구소 ,제조/화학,2.4,4412,석유/화학/에너지
나사렛국제병원 ,제조/화학,2.1,3127,석유/화학/에너지
한국석유관리원 ,제조/화학,2.9,4140,석유/화학/에너지
(주)일삼 ,제조/화학,1.9,2982,석유/화학/에너지
율촌화학(주) ,제조/화학,2.9,4386,석유/화학/에너지
에이케이켐텍(주) ,제조/화학,2.2,3927,석유/화학/에너지
(주)더페이스샵 ,제조/화학,3.2,3835,석유/화학/에너지
린텍스페셜러티필름코리아(주) ,제조/화학,2.7,3482,석유/화학/에너지
한국분석기술연구원(주) ,제조/화학,1.6,2549,석유/화학/에너지
피피지코리아(유) ,제조/화학,2.6,3777,석유/화학/에너지
헨켈홈케어코리아(유) ,제조/화학,2.5,4826,석유/화학/에너지
(주)부스트랩 ,제조/화학,3.3,3616,석유/화학/에너지
코오롱플라스틱(주) ,제조/화학,3.2,4767,석유/화학/에너지
(주)알텐코리아 ,제조/화학,2.8,3610,석유/화학/에너지
롯데정밀화학(주) ,제조/화학,3.5,5368,석유/화학/에너지
에스케이마이크로웍스솔루션즈(주) ,제조/화학,3.3,4786,석유/화학/에너지
에스케이에너지(주) ,제조/화학,3.9,5535,석유/화학/에너지
엔씨케이(주) ,제조/화학,2.4,3695,석유/화학/에너지
코멕스산업(주) ,제조/화학,2.0,3222,석유/화학/에너지
(주)나우코스 ,제조/화학,2.6,3241,석유/화학/에너지
(주)후성 ,제조/화학,3.6,4688,석유/화학/에너지
(주)셀리버리리빙앤헬스 ,제조/화학,1.8,4598,석유/화학/에너지
현대포리텍(주) ,제조/화학,2.2,3434,석유/화학/에너지
코스모화학(주) ,제조/화학,2.7,4050,석유/화학/에너지
성도이엔지(주) ,제조/화학,2.5,4658,석유/화학/에너지
(주)엔코스 ,제조/화학,2.6,3279,석유/화학/에너지
풍원화학(주) ,제조/화학,2.7,3764,석유/화학/에너지
피아이첨단소재(주) ,제조/화학,3.2,5159,석유/화학/에너지
한국엔지니어링협회 ,제조/화학,2.7,3802,석유/화학/에너지
범우화학공업(주) ,제조/화학,2.6,3907,석유/화학/에너지
(주)앤디포스 ,제조/화학,2.4,3757,석유/화학/에너지
한국이콜랩(유) ,제조/화학,3.0,4528,석유/화학/에너지
(주)타파웨어브랜즈코리아 ,제조/화학,2.6,4449,석유/화학/에너지
세진종합기술(주) ,제조/화학,2.3,3091,석유/화학/에너지
더페이스샵 (매장) ,제조/화학,3.3,2259,석유/화학/에너지
모본(주) ,제조/화학,2.5,4540,석유/화학/에너지
이수화학(주) ,제조/화학,3.1,5708,석유/화학/에너지
한국메티슨특수가스(주) ,제조/화학,2.7,3983,석유/화학/에너지
한화엘앤씨(주) ,제조/화학,3.1,4547,석유/화학/에너지
현대첨단소재(주) ,제조/화학,2.1,4375,석유/화학/에너지
동일고무벨트(주) ,제조/화학,2.8,4499,석유/화학/에너지
여천엔씨씨(주) ,제조/화학,3.6,4998,석유/화학/에너지
제이비(주) ,제조/화학,3.0,4526,석유/화학/에너지
한국삼공(주) ,제조/화학,3.4,3444,석유/화학/에너지
(주)동성케미컬 ,제조/화학,3.0,4664,석유/화학/에너지
