기업이름,분야,평점,연봉,2차산업군
동부엘이디(주) ,제조/화학,2.6,3567,반도체/디스플레이
(주)원익테라세미콘 ,제조/화학,2.9,4032,반도체/디스플레이
아사히글라스 화인테크노코리아 ,제조/화학,3.2,4416,반도체/디스플레이
케이케이테크(주) ,제조/화학,3.0,3684,반도체/디스플레이
한국소니전자(주) ,제조/화학,2.7,4074,반도체/디스플레이
동아엘텍(주) ,제조/화학,2.9,3725,반도체/디스플레이
케빅(주) ,제조/화학,2.0,2685,반도체/디스플레이
(주)지씨엠 ,제조/화학,2.0,3325,반도체/디스플레이
사파이어테크놀로지(주) ,제조/화학,3.4,3982,반도체/디스플레이
(주)시스메이트 ,제조/화학,2.3,3390,반도체/디스플레이
(주)애니캐스팅 ,제조/화학,2.4,3649,반도체/디스플레이
하이디스테크놀로지(주) ,제조/화학,3.2,4030,반도체/디스플레이
(주)쏘닉스 ,제조/화학,2.4,3714,반도체/디스플레이
아덴텍코리아(주) ,제조/화학,2.3,3139,반도체/디스플레이
(주)에이텍솔루션 ,제조/화학,1.8,3901,반도체/디스플레이
(주)코아시아씨엠 ,제조/화학,2.1,4010,반도체/디스플레이
양우전자(주) ,제조/화학,2.5,3480,반도체/디스플레이
(주)이더블유비엠 ,제조/화학,2.4,3939,반도체/디스플레이
태산엘시디(주) ,제조/화학,3.2,3625,반도체/디스플레이
(주)삼진 ,제조/화학,3.1,3465,반도체/디스플레이
(주)인스케이프 ,제조/화학,2.8,4237,반도체/디스플레이
(주)판타룩스 ,제조/화학,1.9,3413,반도체/디스플레이
레이젠(주) ,제조/화학,2.3,3719,반도체/디스플레이
(주)베이스 ,제조/화학,2.2,3426,반도체/디스플레이
브룩스오토메이션아시아(주) ,제조/화학,3.1,4020,반도체/디스플레이
이미지스테크놀로지(주) ,제조/화학,2.6,4659,반도체/디스플레이
한국브룩스오토메이션(주) ,제조/화학,3.5,4230,반도체/디스플레이
(주)디지트론 ,제조/화학,2.6,3584,반도체/디스플레이
브이테크놀로지코리아(주) ,제조/화학,2.6,3377,반도체/디스플레이
(주)비젼사이언스 ,제조/화학,2.2,2847,반도체/디스플레이
(주)알티자동화 ,제조/화학,3.0,3437,반도체/디스플레이
레이저앤피직스(주) ,제조/화학,2.3,3728,반도체/디스플레이
유니코스(주) ,제조/화학,2.0,2608,반도체/디스플레이
코아로직(주) ,제조/화학,2.8,4445,반도체/디스플레이
한국오지케이(주) ,제조/화학,3.0,3227,반도체/디스플레이
(주)나인벨 ,제조/화학,2.4,3636,반도체/디스플레이
(주)오성미디컴 ,제조/화학,1.9,3176,반도체/디스플레이
(주)태진기술 ,제조/화학,1.5,4568,반도체/디스플레이
르네사스디자인코리아(주) ,제조/화학,3.0,6672,반도체/디스플레이
(주)베이직테크 ,제조/화학,2.5,3013,반도체/디스플레이
(주)코아시아넥셀 ,제조/화학,2.8,4137,반도체/디스플레이
빛샘전자(주) ,제조/화학,2.3,2920,반도체/디스플레이
에이피티씨(주) ,제조/화학,3.6,3928,반도체/디스플레이
엠텍비젼(주) ,제조/화학,2.5,4289,반도체/디스플레이
(주)비콘아이앤씨 ,제조/화학,2.3,3538,반도체/디스플레이
(주)피델릭스 ,제조/화학,2.7,3845,반도체/디스플레이
대명소재(주) ,제조/화학,2.9,3435,반도체/디스플레이
대원전광(주) ,제조/화학,1.7,3363,반도체/디스플레이
디스코하이테크코리아(주) ,제조/화학,1.8,3741,반도체/디스플레이
(주)디에이아이오 ,제조/화학,2.0,4889,반도체/디스플레이
(주)마르시스 ,제조/화학,2.8,3580,반도체/디스플레이
(주)이에스티 ,제조/화학,2.9,3274,반도체/디스플레이
(주)라닉스 ,제조/화학,2.6,5568,반도체/디스플레이
아나패스(주) ,제조/화학,3.3,4669,반도체/디스플레이
(주)케이알엠 ,제조/화학,3.1,4668,반도체/디스플레이
오토스광학(주) ,제조/화학,2.3,1942,반도체/디스플레이
한양디지텍(주) ,제조/화학,3.4,3718,반도체/디스플레이
(주)참신 ,제조/화학,2.5,2774,반도체/디스플레이
나우테크(주) ,제조/화학,2.2,3016,반도체/디스플레이
르네사스일렉트로닉스한국(주) ,제조/화학,3.9,4821,반도체/디스플레이
(주)아이비젼웍스 ,제조/화학,3.9,3828,반도체/디스플레이
디스플레이테크(주) ,제조/화학,2.4,3444,반도체/디스플레이
온테스트(주) ,제조/화학,3.0,3321,반도체/디스플레이
(주)파이버프로 ,제조/화학,3.2,4344,반도체/디스플레이
피코앤테라(주) ,제조/화학,2.8,3667,반도체/디스플레이
(주)칩스앤미디어 ,제조/화학,3.3,6577,반도체/디스플레이
실리콘화일(주) ,제조/화학,2.2,3523,반도체/디스플레이
