기업이름,분야,평점,연봉,2차산업군
(재)아산정책연구원 ,건설업,2.8,3921,건설업
(주)다인그룹엔지니어링건축사사무소 ,건설업,2.5,3950,건설업
(주)써브감정평가법인 ,건설업,1.9,2536,건설업
데오스웍스 ,건설업,2.1,2764,건설업
씨제이건설(주) ,건설업,3.0,4467,건설업
종합전기(주) ,건설업,2.3,3478,건설업
(주)다산에너지 ,건설업,2.5,2740,건설업
(주)이지차저 ,건설업,1.6,3463,건설업
가람감정평가법인(주) ,건설업,2.9,2976,건설업
가온감정평가법인(주) ,건설업,2.2,2748,건설업
구산토건(주) ,건설업,2.5,4278,건설업
동아건설산업(주) ,건설업,2.6,4767,건설업
선엔지니어링종합건축사사무소(주) ,건설업,3.5,3435,건설업
씨유 ,건설업,3.3,2298,건설업
풍림산업(주) ,건설업,2.5,3785,건설업
(주)건영 ,건설업,2.1,3822,건설업
(주)대명건설 ,건설업,2.5,4806,건설업
(주)지엘어소시에이츠 ,건설업,2.8,3620,건설업
(주)청명기연환경 ,건설업,2.3,2864,건설업
현대건설기술교육원 ,건설업,4.0,5286,건설업
현대스틸산업(주) ,건설업,2.0,4651,건설업
(주)모아종합건설 ,건설업,2.2,4025,건설업
대한감정평가법인(주) ,건설업,2.7,2699,건설업
우원개발(주) ,건설업,2.5,4026,건설업
(주)경성리츠 ,건설업,2.8,3543,건설업
(주)드림이앤디 ,건설업,2.6,3580,건설업
(주)장민이엔씨 ,건설업,3.2,3562,건설업
부산도시공사 ,건설업,3.5,3841,건설업
금양그린파워(주) ,건설업,2.4,3831,건설업
동성엔지니어링 ,건설업,3.1,4022,건설업
한국환경기술개발(주) ,건설업,2.2,3160,건설업
한라산업개발(주) ,건설업,2.2,3980,건설업
(주)피디그룹 ,건설업,2.2,2868,건설업
신한종합건설(주) ,건설업,2.8,4328,건설업
엘케이테크넷(주) ,건설업,2.1,2561,건설업
장맥엔지니어링(주) ,건설업,2.3,3659,건설업
(주)도담이앤씨 ,건설업,3.3,3640,건설업
(주)신세계사이먼 ,건설업,3.2,5329,건설업
경일감정평가법인 ,건설업,2.5,3949,건설업
대전도시공사 ,건설업,3.8,3667,건설업
디자인다다어소시에이츠(주) ,건설업,2.4,2742,건설업
에코이앤오(주) ,건설업,2.9,3211,건설업
(주)알래스카플러스 ,건설업,2.5,3612,건설업
(주)대광엔지니어링 ,건설업,2.0,2354,건설업
(주)엄앤드이종합건축사사무소 ,건설업,2.3,3074,건설업
개오망디자인(주) ,건설업,1.9,2876,건설업
대상건설(주) ,건설업,2.3,5132,건설업
