기업이름,분야,평점,연봉,2차산업군
한라엔컴(주) ,제조/화학,2.7,4295,금속/재료/철강
(주)영광스텐 ,제조/화학,1.9,3160,금속/재료/철강
삼영엠텍(주) ,제조/화학,2.5,4147,금속/재료/철강
율촌(주) ,제조/화학,3.1,3535,금속/재료/철강
(주)현대알비 ,제조/화학,2.5,3267,금속/재료/철강
포스코에이에스티(주) ,제조/화학,2.7,3933,금속/재료/철강
(주)디에스피 ,제조/화학,2.1,3275,금속/재료/철강
(주)성일기공 ,제조/화학,2.6,3164,금속/재료/철강
길산스틸(주) ,제조/화학,2.0,2933,금속/재료/철강
대륙프랜지공업(주) ,제조/화학,1.7,3239,금속/재료/철강
동국알앤에스(주) ,제조/화학,3.2,3900,금속/재료/철강
동양강철(주) ,제조/화학,2.2,3860,금속/재료/철강
우진(주) ,제조/화학,2.7,3576,금속/재료/철강
크리오스(주) ,제조/화학,2.5,3032,금속/재료/철강
현대시멘트(주) ,제조/화학,3.3,4895,금속/재료/철강
(주)뉴아세아 ,제조/화학,2.4,4186,금속/재료/철강
고려용접봉(주) ,제조/화학,3.0,5228,금속/재료/철강
케이비아이메탈(주) ,제조/화학,2.6,3912,금속/재료/철강
한국오웬스코닝(주) ,제조/화학,3.3,4926,금속/재료/철강
네덱(주) ,제조/화학,4.0,4252,금속/재료/철강
매크로드(주) ,제조/화학,2.5,3438,금속/재료/철강
제이에스테크(주) ,제조/화학,1.8,2978,금속/재료/철강
지엔티(주) ,제조/화학,2.3,3396,금속/재료/철강
포스하이메탈(주) ,제조/화학,3.0,3472,금속/재료/철강
(주)솔라테크 ,제조/화학,2.6,3624,금속/재료/철강
(주)트리스 ,제조/화학,2.7,3391,금속/재료/철강
(주)한국에이엠에프 ,제조/화학,2.0,3090,금속/재료/철강
(주)한국클래드텍 ,제조/화학,2.2,3446,금속/재료/철강
경남스틸(주) ,제조/화학,2.2,3932,금속/재료/철강
세이크(주) ,제조/화학,2.5,2715,금속/재료/철강
조선선재(주) ,제조/화학,3.2,4775,금속/재료/철강
(주)케이엠이 ,제조/화학,2.1,2755,금속/재료/철강
문배철강(주) ,제조/화학,2.4,5573,금속/재료/철강
송현홀딩스(주) ,제조/화학,3.1,4839,금속/재료/철강
티센크루프머티리얼코리아(주) ,제조/화학,2.5,3426,금속/재료/철강
(주)동양에스텍 ,제조/화학,2.4,3589,금속/재료/철강
(주)아이엘티 ,제조/화학,2.6,3589,금속/재료/철강
케이테크코리아(유) ,제조/화학,1.6,2476,금속/재료/철강
(주)서원 ,제조/화학,2.9,4106,금속/재료/철강
(주)승일실업 ,제조/화학,2.7,3860,금속/재료/철강
(주)태진이엔지 ,제조/화학,2.9,3083,금속/재료/철강
(주)효성디앤피 ,제조/화학,2.0,3091,금속/재료/철강
고려강선(주) ,제조/화학,2.6,3718,금속/재료/철강
디씨엠(주) ,제조/화학,2.9,4366,금속/재료/철강
한일중공업(주) ,제조/화학,1.7,4636,금속/재료/철강
헤라우스오리엔탈하이텍(주) ,제조/화학,2.8,3443,금속/재료/철강
홍덕산업(주) ,제조/화학,2.1,4307,금속/재료/철강
(주)신한세라믹 ,제조/화학,2.3,3342,금속/재료/철강
(주)코리아툴링 ,제조/화학,2.9,2492,금속/재료/철강
동양시멘트(주) ,제조/화학,2.6,4617,금속/재료/철강
레어메탈코리아(주) ,제조/화학,1.5,2838,금속/재료/철강
선우시스(주) ,제조/화학,2.3,3132,금속/재료/철강
알펙(주) ,제조/화학,2.5,4037,금속/재료/철강
윈테코(주) ,제조/화학,1.7,4346,금속/재료/철강
제일연마공업(주) ,제조/화학,2.5,4165,금속/재료/철강
천일정공사 ,제조/화학,2.2,3045,금속/재료/철강
