기업이름,분야,평점,연봉,2차산업군
에이원엔지니어링코리아(유) ,제조/화학,1.8,3297,기계/설비/자동차
(주)화승코퍼레이션 ,제조/화학,2.8,4776,기계/설비/자동차
(주)테크로스 ,제조/화학,3.2,3902,기계/설비/자동차
두원공조(주) ,제조/화학,2.6,5190,기계/설비/자동차
아이엠아이크리티컬엔지니어링코리아(주) ,제조/화학,2.8,4427,기계/설비/자동차
평화산업(주) ,제조/화학,2.3,4835,기계/설비/자동차
(주)패커드코리아 ,제조/화학,2.5,4118,기계/설비/자동차
케이비아이동국실업(주) ,제조/화학,2.2,4183,기계/설비/자동차
광명산업(주) ,제조/화학,2.2,3621,기계/설비/자동차
티센크루프엘리베이터코리아(주) ,제조/화학,3.5,4301,기계/설비/자동차
(주)디티알 ,제조/화학,2.6,4419,기계/설비/자동차
덕일산업(주) ,제조/화학,2.1,3510,기계/설비/자동차
효성굿스프링스(주) ,제조/화학,3,5154,기계/설비/자동차
대원산업(주) ,제조/화학,1.9,5280,기계/설비/자동차
남양넥스모(주) ,제조/화학,3,4744,기계/설비/자동차
서진캠(주) ,제조/화학,2.3,4664,기계/설비/자동차
(주)리한 ,제조/화학,1.7,3859,기계/설비/자동차
삼보모터스(주) ,제조/화학,2.4,4800,기계/설비/자동차
삼익티에이치케이(주) ,제조/화학,3.3,4115,기계/설비/자동차
윌로펌프(주) ,제조/화학,3.3,4038,기계/설비/자동차
한국훼스토(주) ,제조/화학,3.3,4773,기계/설비/자동차
영풍정밀(주) ,제조/화학,2.5,3743,기계/설비/자동차
현대아이에이치엘(주) ,제조/화학,2.8,5277,기계/설비/자동차
한국브렌슨(주) ,제조/화학,1.9,3542,기계/설비/자동차
(주)두올 ,제조/화학,2.6,3817,기계/설비/자동차
(주)원봉 ,제조/화학,1.9,3671,기계/설비/자동차
현대파워텍(주) ,제조/화학,3.3,5731,기계/설비/자동차
에스엔유프리시젼(주) ,제조/화학,2.6,3901,기계/설비/자동차
조광아이엘아이(주) ,제조/화학,2.7,3637,기계/설비/자동차
파카코리아(주) ,제조/화학,2.3,4421,기계/설비/자동차
화천기계(주) ,제조/화학,2.7,4505,기계/설비/자동차
모토닉(주) ,제조/화학,2.3,4089,기계/설비/자동차
SNT모티브(주) ,제조/화학,2.7,4629,기계/설비/자동차
경창산업(주) ,제조/화학,2.6,4823,기계/설비/자동차
태화기업(주) ,제조/화학,2,2844,기계/설비/자동차
(주)코다코 ,제조/화학,2.1,3359,기계/설비/자동차
대동도어(주) ,제조/화학,2.3,4128,기계/설비/자동차
(주)디아이씨 ,제조/화학,2.1,3930,기계/설비/자동차
조이슨세이프티시스템스코리아(주) ,제조/화학,2.3,3668,기계/설비/자동차
(주)메디아나 ,제조/화학,2.3,3124,기계/설비/자동차
(주)일진베어링 ,제조/화학,3,4889,기계/설비/자동차
(주)다이나믹디자인 ,제조/화학,1.9,3933,기계/설비/자동차
(주)스맥 ,제조/화학,2.1,3778,기계/설비/자동차
(주)용산 ,제조/화학,2.4,3828,기계/설비/자동차
니덱모빌리티코리아(주) ,제조/화학,2.1,4666,기계/설비/자동차
(주)에이치앤이루자 ,제조/화학,2.9,4239,기계/설비/자동차
삼성공조(주) ,제조/화학,1.7,2951,기계/설비/자동차
에스엠알오토모티브모듈코리아(주) ,제조/화학,2.8,4552,기계/설비/자동차
(주)피제이전자 ,제조/화학,2.4,3163,기계/설비/자동차
인텍플러스(주) ,제조/화학,2.7,3810,기계/설비/자동차
프라코(주) ,제조/화학,2.7,5001,기계/설비/자동차
(주)디에이테크놀로지 ,제조/화학,2,3660,기계/설비/자동차
(주)제이시스메디칼 ,제조/화학,2.4,4035,기계/설비/자동차
(주)멈스 ,제조/화학,1.7,2591,기계/설비/자동차
후지테크코리아(주) ,제조/화학,2.2,3375,기계/설비/자동차
(주)디엔솔루션즈 ,제조/화학,3.6,8300,기계/설비/자동차
엔브이에이치코리아(주) ,제조/화학,2.9,4906,기계/설비/자동차
하이윈코퍼레이션(주) ,제조/화학,2,3596,기계/설비/자동차
(유)대구특수금속 ,제조/화학,2,2881,기계/설비/자동차
(주)에이치케이 ,제조/화학,2.3,3719,기계/설비/자동차
(주)일지테크 ,제조/화학,2.5,4160,기계/설비/자동차
엔유씨전자(주) ,제조/화학,2.3,3227,기계/설비/자동차
(주)진양오일씰 ,제조/화학,2.7,4055,기계/설비/자동차
삼성발레오써멀시스템스(주) ,제조/화학,1.9,3146,기계/설비/자동차
(주)수산중공업 ,제조/화학,2.8,3756,기계/설비/자동차
(주)이노바이오써지 ,제조/화학,1.9,2668,기계/설비/자동차
(주)한중엔시에스 ,제조/화학,2,3629,기계/설비/자동차
