,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
89,(주)에이치알컨설팅그룹,경력3년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"전자·반도체, 응용프로그래머, 시스템프로그래머","['C', '학사', 'Linux', 'ADAS', 'Vehicle']"
90,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일","['C', '학사', 'Linux', 'ADAS', 'Vehicle']"
91,주식회사 웨이브엠,신입/경력(연차무관),," 경기도 의왕시 철도박물관로 176 (월암동,한국철도기술연구원) 2동 113-2호 ㈜웨이브엠",자율주행,"웹프로그래머, 데이터베이스·DBA",[]
92,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일","['플랫폼', 'C', 'SW', '학사', '리눅스', 'Linux', 'ADAS', '임베디드', 'Vehicle']"
93,(주)에이치알컨설팅그룹,경력3년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,재무·자금·IR,"['ADAS', '학사', 'Vehicle']"
94,포티투닷 주식회사,경력3년↑,," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 웹기획·웹마케팅·PM","['플랫폼', '모빌리티', '서비스', 'ai', '시스템']"
95,(주)에이치알컨설팅그룹,경력3년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일, 전자·반도체","['플랫폼', 'C', 'SW', '학사', 'Linux', 'ADAS', 'S/W', '임베디드', 'Vehicle', '알고리즘']"
96,(주)에이치알컨설팅그룹,경력3~14년,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"전자·반도체, 소프트웨어·하드웨어, 시스템프로그래머","['네트워크', 'SW', '펌웨어', '학사', '시스템', '전기', '프로그래밍', 'ADAS', 'S/W', '임베디드', 'Vehicle', 'ISO']"
97,(주)에이치알컨설팅그룹,경력6년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"소프트웨어·하드웨어, 응용프로그래머, 웹기획·웹마케팅·PM","['SW', '학사', 'Linux', 'ADAS', 'Vehicle']"
98,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일, 전자·반도체","['C', 'DSP', '학사', 'Controller', '전자', 'ADAS', 'S/W', 'Vehicle']"
99,피액스인터내셔날,경력3년↑,, 서울특별시 강남구 테헤란로 216 근무지 파주,자율주행,"기계·금속·재료, 빅데이터·AI(인공지능), 시스템프로그래머","['자율주행', 'SW', '센서', '전자', 'RADAR', 'ADAS', '기능안전', 'S/W', '전파', 'Radar', '전기', '신호처리', '알고리즘', 'C', 'AUTOSAR', '하드웨어', '레이더', '영어', '컴퓨터공학', '제어', 'DSP', '학사', 'Firmware', 'Python', '임베디드', 'Safety']"
100,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일","['C', '학사', 'Linux', 'ADAS', 'Vehicle']"
101,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,구매·자재,"['기계공학', '학사', '전자', 'ADAS', '영어', 'Vehicle']"
102,(주)에이치알컨설팅그룹,경력3년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"연구원·연구개발, 응용프로그래머","['서비스', '학사', '전자', 'ADAS', 'Vehicle']"
103,(주)에이치알컨설팅그룹,경력5년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,응용프로그래머,"['C', '학사', '리눅스', 'Linux', 'ADAS', '임베디드', 'Vehicle']"
104,(주)조인스에이치알코리아,경력1년↑,, 서울특별시 서초구 서운로 160,자율주행,"연구원·연구개발, 응용프로그래머","['자율주행', '전파', 'Embedded', 'SW', '센서', 'Firmware', '전자', '시스템', 'S/W', '전기', 'ADAS', '기능안전', '컴퓨터공학', '영어', '제어']"
105,(주)에이치알컨설팅그룹,경력3년↑,," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"연구원·연구개발, ERP·시스템분석·설계","['ADAS', '학사', '프로젝트', 'Vehicle']"
